date,T2M,region_name,country,latitude,longitude
2020-01-01,10.73136164347333,jaipur,india,26.9124,75.7873
2020-01-02,11.522275543212913,jaipur,india,26.9124,75.7873
2020-01-03,13.998404439290388,jaipur,india,26.9124,75.7873
2020-01-04,14.790907796223982,jaipur,india,26.9124,75.7873
2020-01-05,14.626357014973982,jaipur,india,26.9124,75.7873
2020-01-06,14.865902201334658,jaipur,india,26.9124,75.7873
2020-01-07,15.810385640462263,jaipur,india,26.9124,75.7873
2020-01-08,12.156276957194033,jaipur,india,26.9124,75.7873
2020-01-09,9.187869008382185,jaipur,india,26.9124,75.7873
2020-01-10,9.571094767252626,jaipur,india,26.9124,75.7873
2020-01-11,11.731459554036482,jaipur,india,26.9124,75.7873
2020-01-12,13.822498575846376,jaipur,india,26.9124,75.7873
2020-01-13,14.24746983846031,jaipur,india,26.9124,75.7873
2020-01-14,12.483768717447939,jaipur,india,26.9124,75.7873
2020-01-15,14.267446136474632,jaipur,india,26.9124,75.7873
2020-01-16,10.728098805745466,jaipur,india,26.9124,75.7873
2020-01-17,11.594939168294294,jaipur,india,26.9124,75.7873
2020-01-18,11.823656972249372,jaipur,india,26.9124,75.7873
2020-01-19,11.019634501139345,jaipur,india,26.9124,75.7873
2020-01-20,12.704568481445335,jaipur,india,26.9124,75.7873
2020-01-21,13.632033284505232,jaipur,india,26.9124,75.7873
2020-01-22,13.029677327473982,jaipur,india,26.9124,75.7873
2020-01-23,11.493124898274763,jaipur,india,26.9124,75.7873
2020-01-24,12.631970977783226,jaipur,india,26.9124,75.7873
2020-01-25,16.301006571451847,jaipur,india,26.9124,75.7873
2020-01-26,16.459376271565777,jaipur,india,26.9124,75.7873
2020-01-27,17.060305531819683,jaipur,india,26.9124,75.7873
2020-01-28,15.343811289469423,jaipur,india,26.9124,75.7873
2020-01-29,13.340483601888044,jaipur,india,26.9124,75.7873
2020-01-30,12.649385070800804,jaipur,india,26.9124,75.7873
2020-01-31,13.010203297932966,jaipur,india,26.9124,75.7873
2020-02-01,12.98685480753583,jaipur,india,26.9124,75.7873
2020-02-02,13.072377777099632,jaipur,india,26.9124,75.7873
2020-02-03,13.358201599121116,jaipur,india,26.9124,75.7873
2020-02-04,14.165550486246767,jaipur,india,26.9124,75.7873
2020-02-05,13.561762746175154,jaipur,india,26.9124,75.7873
2020-02-06,13.754846191406273,jaipur,india,26.9124,75.7873
2020-02-07,12.62540206909182,jaipur,india,26.9124,75.7873
2020-02-08,12.980750020345075,jaipur,india,26.9124,75.7873
2020-02-09,15.132230377197288,jaipur,india,26.9124,75.7873
2020-02-10,15.137167867024763,jaipur,india,26.9124,75.7873
2020-02-11,15.69659322102867,jaipur,india,26.9124,75.7873
2020-02-12,17.73891347249351,jaipur,india,26.9124,75.7873
2020-02-13,18.827087656656925,jaipur,india,26.9124,75.7873
2020-02-14,17.157767232259136,jaipur,india,26.9124,75.7873
2020-02-15,17.5901555379232,jaipur,india,26.9124,75.7873
2020-02-16,19.759781138102237,jaipur,india,26.9124,75.7873
2020-02-17,19.07808074951174,jaipur,india,26.9124,75.7873
2020-02-18,20.660399373372417,jaipur,india,26.9124,75.7873
2020-02-19,18.80150883992515,jaipur,india,26.9124,75.7873
2020-02-20,20.05673751831057,jaipur,india,26.9124,75.7873
2020-02-21,16.91519699096682,jaipur,india,26.9124,75.7873
2020-02-22,17.383921559651714,jaipur,india,26.9124,75.7873
2020-02-23,18.183526611328148,jaipur,india,26.9124,75.7873
2020-02-24,19.07622044881187,jaipur,india,26.9124,75.7873
2020-02-25,20.024771626790386,jaipur,india,26.9124,75.7873
2020-02-26,20.307153320312523,jaipur,india,26.9124,75.7873
2020-02-27,22.92859547932945,jaipur,india,26.9124,75.7873
2020-02-28,21.99300918579104,jaipur,india,26.9124,75.7873
2020-02-29,23.18583958943687,jaipur,india,26.9124,75.7873
2020-03-01,21.79366200764976,jaipur,india,26.9124,75.7873
2020-03-02,22.300996398925804,jaipur,india,26.9124,75.7873
2020-03-03,22.733692423502628,jaipur,india,26.9124,75.7873
2020-03-04,21.345145161946636,jaipur,india,26.9124,75.7873
2020-03-05,20.31409098307294,jaipur,india,26.9124,75.7873
2020-03-06,16.433099365234398,jaipur,india,26.9124,75.7873
2020-03-07,16.809719340006534,jaipur,india,26.9124,75.7873
2020-03-08,18.491915639241558,jaipur,india,26.9124,75.7873
2020-03-09,19.02963027954104,jaipur,india,26.9124,75.7873
2020-03-10,17.94387588500979,jaipur,india,26.9124,75.7873
2020-03-11,19.179008738199894,jaipur,india,26.9124,75.7873
2020-03-12,18.344082132975284,jaipur,india,26.9124,75.7873
2020-03-13,17.56319325764976,jaipur,india,26.9124,75.7873
2020-03-14,17.021056111653667,jaipur,india,26.9124,75.7873
2020-03-15,17.22035878499351,jaipur,india,26.9124,75.7873
2020-03-16,19.375451660156273,jaipur,india,26.9124,75.7873
2020-03-17,21.652755991617862,jaipur,india,26.9124,75.7873
2020-03-18,23.364624277750675,jaipur,india,26.9124,75.7873
2020-03-19,24.33830032348635,jaipur,india,26.9124,75.7873
2020-03-20,23.972920989990257,jaipur,india,26.9124,75.7873
2020-03-21,25.511312103271507,jaipur,india,26.9124,75.7873
2020-03-22,24.95059738159182,jaipur,india,26.9124,75.7873
2020-03-23,25.04377136230471,jaipur,india,26.9124,75.7873
2020-03-24,26.51243108113609,jaipur,india,26.9124,75.7873
2020-03-25,25.077278391520206,jaipur,india,26.9124,75.7873
2020-03-26,23.409370676676456,jaipur,india,26.9124,75.7873
2020-03-27,20.777459716796898,jaipur,india,26.9124,75.7873
2020-03-28,22.59042892456057,jaipur,india,26.9124,75.7873
