date,T2M,region_name,country,latitude,longitude
2020-01-01,24.697019195556663,kandy,sri lanka,7.2906,80.6337
2020-01-02,24.77292658487958,kandy,sri lanka,7.2906,80.6337
2020-01-03,24.834341939290386,kandy,sri lanka,7.2906,80.6337
2020-01-04,24.086968994140648,kandy,sri lanka,7.2906,80.6337
2020-01-05,24.095432535807316,kandy,sri lanka,7.2906,80.6337
2020-01-06,23.93312225341799,kandy,sri lanka,7.2906,80.6337
2020-01-07,24.001629130045597,kandy,sri lanka,7.2906,80.6337
2020-01-08,22.345079040527366,kandy,sri lanka,7.2906,80.6337
2020-01-09,22.461062367757183,kandy,sri lanka,7.2906,80.6337
2020-01-10,22.154692586263042,kandy,sri lanka,7.2906,80.6337
2020-01-11,23.646335856119816,kandy,sri lanka,7.2906,80.6337
2020-01-12,22.472400919596378,kandy,sri lanka,7.2906,80.6337
2020-01-13,21.342033640543644,kandy,sri lanka,7.2906,80.6337
2020-01-14,21.13025309244794,kandy,sri lanka,7.2906,80.6337
2020-01-15,21.681345876057964,kandy,sri lanka,7.2906,80.6337
2020-01-16,23.363515472412132,kandy,sri lanka,7.2906,80.6337
2020-01-17,24.169890340169292,kandy,sri lanka,7.2906,80.6337
2020-01-18,24.11507949829104,kandy,sri lanka,7.2906,80.6337
2020-01-19,24.23138580322268,kandy,sri lanka,7.2906,80.6337
2020-01-20,24.065652465820335,kandy,sri lanka,7.2906,80.6337
2020-01-21,24.48701375325523,kandy,sri lanka,7.2906,80.6337
2020-01-22,24.610894775390648,kandy,sri lanka,7.2906,80.6337
2020-01-23,24.33150380452476,kandy,sri lanka,7.2906,80.6337
2020-01-24,23.701795196533226,kandy,sri lanka,7.2906,80.6337
2020-01-25,22.97564849853518,kandy,sri lanka,7.2906,80.6337
2020-01-26,22.673568979899112,kandy,sri lanka,7.2906,80.6337
2020-01-27,21.98917922973635,kandy,sri lanka,7.2906,80.6337
2020-01-28,22.02610295613609,kandy,sri lanka,7.2906,80.6337
2020-01-29,22.117176310221378,kandy,sri lanka,7.2906,80.6337
2020-01-30,21.981823221842472,kandy,sri lanka,7.2906,80.6337
2020-01-31,22.028757985432964,kandy,sri lanka,7.2906,80.6337
2020-02-01,22.045123036702496,kandy,sri lanka,7.2906,80.6337
2020-02-02,22.679148610432964,kandy,sri lanka,7.2906,80.6337
2020-02-03,22.866176859537784,kandy,sri lanka,7.2906,80.6337
2020-02-04,23.4329658508301,kandy,sri lanka,7.2906,80.6337
2020-02-05,23.49145024617515,kandy,sri lanka,7.2906,80.6337
2020-02-06,23.596968587239605,kandy,sri lanka,7.2906,80.6337
2020-02-07,22.94815597534182,kandy,sri lanka,7.2906,80.6337
2020-02-08,22.891394551595074,kandy,sri lanka,7.2906,80.6337
2020-02-09,22.17894261678062,kandy,sri lanka,7.2906,80.6337
2020-02-10,22.97815093994143,kandy,sri lanka,7.2906,80.6337
2020-02-11,23.969867960612003,kandy,sri lanka,7.2906,80.6337
2020-02-12,24.55059967041018,kandy,sri lanka,7.2906,80.6337
2020-02-13,24.018005625406925,kandy,sri lanka,7.2906,80.6337
2020-02-14,24.162487284342472,kandy,sri lanka,7.2906,80.6337
2020-02-15,24.587876892089866,kandy,sri lanka,7.2906,80.6337
2020-02-16,24.1451978047689,kandy,sri lanka,7.2906,80.6337
2020-02-17,22.397742207845074,kandy,sri lanka,7.2906,80.6337
2020-02-18,21.878498331705753,kandy,sri lanka,7.2906,80.6337
2020-02-19,22.86791508992515,kandy,sri lanka,7.2906,80.6337
2020-02-20,24.74619064331057,kandy,sri lanka,7.2906,80.6337
2020-02-21,25.492996470133487,kandy,sri lanka,7.2906,80.6337
2020-02-22,24.53805567423505,kandy,sri lanka,7.2906,80.6337
2020-02-23,24.491794840494816,kandy,sri lanka,7.2906,80.6337
2020-02-24,24.96359024047854,kandy,sri lanka,7.2906,80.6337
2020-02-25,24.970084126790386,kandy,sri lanka,7.2906,80.6337
2020-02-26,24.160994466145855,kandy,sri lanka,7.2906,80.6337
2020-02-27,24.416225687662784,kandy,sri lanka,7.2906,80.6337
2020-02-28,23.79867324829104,kandy,sri lanka,7.2906,80.6337
2020-02-29,24.50126927693687,kandy,sri lanka,7.2906,80.6337
2020-03-01,24.81286773681643,kandy,sri lanka,7.2906,80.6337
2020-03-02,25.297090148925804,kandy,sri lanka,7.2906,80.6337
2020-03-03,25.484668986002628,kandy,sri lanka,7.2906,80.6337
2020-03-04,25.712332661946636,kandy,sri lanka,7.2906,80.6337
2020-03-05,26.475874837239605,kandy,sri lanka,7.2906,80.6337
2020-03-06,26.840000406901066,kandy,sri lanka,7.2906,80.6337
2020-03-07,26.412583923339866,kandy,sri lanka,7.2906,80.6337
2020-03-08,26.169324493408226,kandy,sri lanka,7.2906,80.6337
2020-03-09,25.84505996704104,kandy,sri lanka,7.2906,80.6337
2020-03-10,25.68638890584312,kandy,sri lanka,7.2906,80.6337
2020-03-11,26.289034779866558,kandy,sri lanka,7.2906,80.6337
2020-03-12,25.683274841308616,kandy,sri lanka,7.2906,80.6337
