date,T2M,region_name,country,latitude,longitude
2020-01-01,10.34610773722333,kathmandu,nepal,27.7172,85.324
2020-01-02,10.66648127237958,kathmandu,nepal,27.7172,85.324
2020-01-03,8.334992980957054,kathmandu,nepal,27.7172,85.324
2020-01-04,8.103245035807314,kathmandu,nepal,27.7172,85.324
2020-01-05,6.717665608723981,kathmandu,nepal,27.7172,85.324
2020-01-06,8.716650899251325,kathmandu,nepal,27.7172,85.324
2020-01-07,10.167481994628929,kathmandu,nepal,27.7172,85.324
2020-01-08,9.8007268269857,kathmandu,nepal,27.7172,85.324
2020-01-09,8.27714309692385,kathmandu,nepal,27.7172,85.324
2020-01-10,7.401111857096377,kathmandu,nepal,27.7172,85.324
2020-01-11,8.805108642578148,kathmandu,nepal,27.7172,85.324
2020-01-12,10.328032430013044,kathmandu,nepal,27.7172,85.324
2020-01-13,11.97940343221031,kathmandu,nepal,27.7172,85.324
2020-01-14,12.024784342447939,kathmandu,nepal,27.7172,85.324
2020-01-15,12.452016448974632,kathmandu,nepal,27.7172,85.324
2020-01-16,12.248769378662132,kathmandu,nepal,27.7172,85.324
2020-01-17,10.45765075683596,kathmandu,nepal,27.7172,85.324
2020-01-18,10.893399810791038,kathmandu,nepal,27.7172,85.324
2020-01-19,9.060894266764345,kathmandu,nepal,27.7172,85.324
2020-01-20,9.085834757487001,kathmandu,nepal,27.7172,85.324
2020-01-21,8.986850992838564,kathmandu,nepal,27.7172,85.324
2020-01-22,9.813368733723982,kathmandu,nepal,27.7172,85.324
2020-01-23,8.125286356608095,kathmandu,nepal,27.7172,85.324
2020-01-24,7.987765248616559,kathmandu,nepal,27.7172,85.324
2020-01-25,8.899151102701845,kathmandu,nepal,27.7172,85.324
2020-01-26,7.653386688232445,kathmandu,nepal,27.7172,85.324
2020-01-27,9.26896438598635,kathmandu,nepal,27.7172,85.324
2020-01-28,11.878804779052757,kathmandu,nepal,27.7172,85.324
2020-01-29,11.382475789388044,kathmandu,nepal,27.7172,85.324
2020-01-30,8.681693013509138,kathmandu,nepal,27.7172,85.324
2020-01-31,9.925323740641298,kathmandu,nepal,27.7172,85.324
2020-02-01,9.10501887003583,kathmandu,nepal,27.7172,85.324
2020-02-02,8.885203297932966,kathmandu,nepal,27.7172,85.324
2020-02-03,9.361782328287783,kathmandu,nepal,27.7172,85.324
2020-02-04,9.7850166320801,kathmandu,nepal,27.7172,85.324
2020-02-05,9.292557017008486,kathmandu,nepal,27.7172,85.324
2020-02-06,9.238244628906273,kathmandu,nepal,27.7172,85.324
2020-02-07,9.808344777425154,kathmandu,nepal,27.7172,85.324
2020-02-08,9.482865905761741,kathmandu,nepal,27.7172,85.324
2020-02-09,9.567614491780622,kathmandu,nepal,27.7172,85.324
2020-02-10,9.795533752441429,kathmandu,nepal,27.7172,85.324
2020-02-11,10.505349731445335,kathmandu,nepal,27.7172,85.324
2020-02-12,10.891257222493513,kathmandu,nepal,27.7172,85.324
2020-02-13,12.765564219156923,kathmandu,nepal,27.7172,85.324
2020-02-14,13.056693013509138,kathmandu,nepal,27.7172,85.324
