date,T2M,region_name,country,latitude,longitude
2020-01-01,4.804156239827496,peshawar,pakistan,34.0151,71.5249
2020-01-02,4.190976715087913,peshawar,pakistan,34.0151,71.5249
2020-01-03,4.443879699707054,peshawar,pakistan,34.0151,71.5249
2020-01-04,5.405898030598981,peshawar,pakistan,34.0151,71.5249
2020-01-05,3.6475158691406477,peshawar,pakistan,34.0151,71.5249
2020-01-06,2.260433451334658,peshawar,pakistan,34.0151,71.5249
2020-01-07,2.916871643066429,peshawar,pakistan,34.0151,71.5249
2020-01-08,2.9704706827799705,peshawar,pakistan,34.0151,71.5249
2020-01-09,4.040865834554059,peshawar,pakistan,34.0151,71.5249
2020-01-10,5.350005086263043,peshawar,pakistan,34.0151,71.5249
2020-01-11,6.676405843098981,peshawar,pakistan,34.0151,71.5249
2020-01-12,4.815092976888043,peshawar,pakistan,34.0151,71.5249
2020-01-13,2.1907885233561424,peshawar,pakistan,34.0151,71.5249
2020-01-14,2.8460937500000227,peshawar,pakistan,34.0151,71.5249
2020-01-15,4.305979665120465,peshawar,pakistan,34.0151,71.5249
2020-01-16,5.712229665120465,peshawar,pakistan,34.0151,71.5249
2020-01-17,5.430886840820335,peshawar,pakistan,34.0151,71.5249
2020-01-18,5.968984222412132,peshawar,pakistan,34.0151,71.5249
2020-01-19,5.904969787597679,peshawar,pakistan,34.0151,71.5249
2020-01-20,5.759378051757835,peshawar,pakistan,34.0151,71.5249
2020-01-21,3.2168314615885643,peshawar,pakistan,34.0151,71.5249
2020-01-22,4.666477457682315,peshawar,pakistan,34.0151,71.5249
2020-01-23,5.602581278483096,peshawar,pakistan,34.0151,71.5249
2020-01-24,7.075818634033226,peshawar,pakistan,34.0151,71.5249
2020-01-25,7.609681701660179,peshawar,pakistan,34.0151,71.5249
2020-01-26,7.264226531982445,peshawar,pakistan,34.0151,71.5249
2020-01-27,5.799726104736351,peshawar,pakistan,34.0151,71.5249
2020-01-28,5.992818450927757,peshawar,pakistan,34.0151,71.5249
2020-01-29,4.065215047200543,peshawar,pakistan,34.0151,71.5249
2020-01-30,6.749889628092471,peshawar,pakistan,34.0151,71.5249
2020-01-31,5.264801279703799,peshawar,pakistan,34.0151,71.5249
2020-02-01,7.155881500244163,peshawar,pakistan,34.0151,71.5249
2020-02-02,8.315541839599632,peshawar,pakistan,34.0151,71.5249
2020-02-03,7.6989405314127835,peshawar,pakistan,34.0151,71.5249
2020-02-04,4.545921579996768,peshawar,pakistan,34.0151,71.5249
2020-02-05,5.974238332112653,peshawar,pakistan,34.0151,71.5249
2020-02-06,7.58386637369794,peshawar,pakistan,34.0151,71.5249
2020-02-07,7.65128097534182,peshawar,pakistan,34.0151,71.5249
2020-02-08,9.250444030761741,peshawar,pakistan,34.0151,71.5249
2020-02-09,9.681790924072288,peshawar,pakistan,34.0151,71.5249
2020-02-10,10.023398335774763,peshawar,pakistan,34.0151,71.5249
2020-02-11,7.851134236653668,peshawar,pakistan,34.0151,71.5249
2020-02-12,8.695619201660179,peshawar,pakistan,34.0151,71.5249
2020-02-13,9.415222422281923,peshawar,pakistan,34.0151,71.5249
2020-02-14,10.217093404134138,peshawar,pakistan,34.0151,71.5249
2020-02-15,12.4607610066732,peshawar,pakistan,34.0151,71.5249
2020-02-16,12.000666554768904,peshawar,pakistan,34.0151,71.5249
2020-02-17,12.118445332845075,peshawar,pakistan,34.0151,71.5249
2020-02-18,13.174234008789085,peshawar,pakistan,34.0151,71.5249
2020-02-19,8.447016652425154,peshawar,pakistan,34.0151,71.5249
2020-02-20,9.555109914143904,peshawar,pakistan,34.0151,71.5249
2020-02-21,12.659174855550154,peshawar,pakistan,34.0151,71.5249
2020-02-22,12.867645517985048,peshawar,pakistan,34.0151,71.5249
2020-02-23,13.689711507161482,peshawar,pakistan,34.0151,71.5249
2020-02-24,13.078661855061872,peshawar,pakistan,34.0151,71.5249
