date,PRECTOTCORR,region_name,country,latitude,longitude
2020-01-01,16.485071182250977,chennai,india,13.0827,80.2707
2020-01-02,1.2005358003079891,chennai,india,13.0827,80.2707
2020-01-03,0.08235806599259377,chennai,india,13.0827,80.2707
2020-01-04,0.5018748342990875,chennai,india,13.0827,80.2707
2020-01-05,3.214050829410553,chennai,india,13.0827,80.2707
2020-01-06,3.3890247344970703,chennai,india,13.0827,80.2707
2020-01-07,0.4534626379609108,chennai,india,13.0827,80.2707
2020-01-08,0.010309575295863738,chennai,india,13.0827,80.2707
2020-01-09,2.6669230024367607e-05,chennai,india,13.0827,80.2707
2020-01-10,0.039842618876129166,chennai,india,13.0827,80.2707
2020-01-11,0.03399922570679337,chennai,india,13.0827,80.2707
2020-01-12,0.020993180442019366,chennai,india,13.0827,80.2707
2020-01-13,0.00036460969497827816,chennai,india,13.0827,80.2707
2020-01-14,0.0007687506695219781,chennai,india,13.0827,80.2707
2020-01-15,0.002036678051808849,chennai,india,13.0827,80.2707
2020-01-16,0.007229697621369269,chennai,india,13.0827,80.2707
2020-01-17,0.5292632267810404,chennai,india,13.0827,80.2707
2020-01-18,0.9128831326961517,chennai,india,13.0827,80.2707
2020-01-19,0.014639044355874153,chennai,india,13.0827,80.2707
2020-01-20,4.2641398224907423e-10,chennai,india,13.0827,80.2707
2020-01-21,0.0003699060405981669,chennai,india,13.0827,80.2707
2020-01-22,0.00595923193031922,chennai,india,13.0827,80.2707
2020-01-23,0.0008388801747249985,chennai,india,13.0827,80.2707
2020-01-24,9.467852196609832e-26,chennai,india,13.0827,80.2707
2020-01-25,2.235108459136559e-27,chennai,india,13.0827,80.2707
2020-01-26,2.941646926046815e-10,chennai,india,13.0827,80.2707
2020-01-27,0.0005395887368919716,chennai,india,13.0827,80.2707
2020-01-28,0.00017405822183569342,chennai,india,13.0827,80.2707
2020-01-29,6.374600847181e-09,chennai,india,13.0827,80.2707
2020-01-30,3.3079009631453715e-05,chennai,india,13.0827,80.2707
2020-01-31,0.0013093177172962545,chennai,india,13.0827,80.2707
2020-02-01,0.0005447144157733064,chennai,india,13.0827,80.2707
2020-02-02,4.9817947367358784e-05,chennai,india,13.0827,80.2707
2020-02-03,0.0011878556506417226,chennai,india,13.0827,80.2707
2020-02-04,0.03609265165778197,chennai,india,13.0827,80.2707
2020-02-05,4.093663648063739e-05,chennai,india,13.0827,80.2707
2020-02-06,1.0316249887546217e-06,chennai,india,13.0827,80.2707
2020-02-07,6.291136811498177e-06,chennai,india,13.0827,80.2707
2020-02-08,0.00021950490665112454,chennai,india,13.0827,80.2707
2020-02-09,0.052245009419493726,chennai,india,13.0827,80.2707
2020-02-10,0.1071469159796834,chennai,india,13.0827,80.2707
2020-02-11,0.0396726347389631,chennai,india,13.0827,80.2707
2020-02-12,0.09964350279709766,chennai,india,13.0827,80.2707
2020-02-13,7.206614445823267e-08,chennai,india,13.0827,80.2707
2020-02-14,1.6615024901697623e-31,chennai,india,13.0827,80.2707
2020-02-15,4.81616198579215e-32,chennai,india,13.0827,80.2707
2020-02-16,7.450827155253137e-06,chennai,india,13.0827,80.2707
2020-02-17,1.8547663405144034e-12,chennai,india,13.0827,80.2707
