date,PRECTOTCORR,region_name,country,latitude,longitude
2020-01-01,0.6354086101055145,hyderabad,pakistan,25.396,68.3578
2020-01-02,9.415653347969055,hyderabad,pakistan,25.396,68.3578
2020-01-03,2.714363671839237,hyderabad,pakistan,25.396,68.3578
2020-01-04,0.05688793835361139,hyderabad,pakistan,25.396,68.3578
2020-01-05,4.092930794286076e-06,hyderabad,pakistan,25.396,68.3578
2020-01-06,0.0,hyderabad,pakistan,25.396,68.3578
2020-01-07,0.0,hyderabad,pakistan,25.396,68.3578
2020-01-08,0.0,hyderabad,pakistan,25.396,68.3578
2020-01-09,0.0,hyderabad,pakistan,25.396,68.3578
2020-01-10,0.0,hyderabad,pakistan,25.396,68.3578
2020-01-11,2.9692024838823272e-06,hyderabad,pakistan,25.396,68.3578
2020-01-12,1.1598976841498132e-06,hyderabad,pakistan,25.396,68.3578
2020-01-13,5.419792614702601e-07,hyderabad,pakistan,25.396,68.3578
2020-01-14,8.053026995247237e-10,hyderabad,pakistan,25.396,68.3578
2020-01-15,4.592038749251515e-06,hyderabad,pakistan,25.396,68.3578
2020-01-16,0.0,hyderabad,pakistan,25.396,68.3578
2020-01-17,0.0,hyderabad,pakistan,25.396,68.3578
2020-01-18,0.0,hyderabad,pakistan,25.396,68.3578
2020-01-19,0.0,hyderabad,pakistan,25.396,68.3578
2020-01-20,0.0,hyderabad,pakistan,25.396,68.3578
2020-01-21,0.0,hyderabad,pakistan,25.396,68.3578
2020-01-22,3.4492898225158e-07,hyderabad,pakistan,25.396,68.3578
2020-01-23,2.6431134710590276e-06,hyderabad,pakistan,25.396,68.3578
2020-01-24,2.8488100503598623e-06,hyderabad,pakistan,25.396,68.3578
2020-01-25,2.8781664645031657e-12,hyderabad,pakistan,25.396,68.3578
2020-01-26,4.013047373084294e-12,hyderabad,pakistan,25.396,68.3578
2020-01-27,1.0184931417241589e-13,hyderabad,pakistan,25.396,68.3578
2020-01-28,1.4188846671757729e-24,hyderabad,pakistan,25.396,68.3578
2020-01-29,0.0,hyderabad,pakistan,25.396,68.3578
2020-01-30,0.08378415958781218,hyderabad,pakistan,25.396,68.3578
2020-01-31,0.0,hyderabad,pakistan,25.396,68.3578
2020-02-01,0.0,hyderabad,pakistan,25.396,68.3578
2020-02-02,0.0,hyderabad,pakistan,25.396,68.3578
2020-02-03,0.0,hyderabad,pakistan,25.396,68.3578
2020-02-04,0.0,hyderabad,pakistan,25.396,68.3578
2020-02-05,0.0,hyderabad,pakistan,25.396,68.3578
2020-02-06,0.0,hyderabad,pakistan,25.396,68.3578
2020-02-07,0.0,hyderabad,pakistan,25.396,68.3578
2020-02-08,2.44920551776886,hyderabad,pakistan,25.396,68.3578
2020-02-09,1.190357655286789,hyderabad,pakistan,25.396,68.3578
2020-02-10,0.0798158347606659,hyderabad,pakistan,25.396,68.3578
2020-02-11,0.0,hyderabad,pakistan,25.396,68.3578
2020-02-12,0.0,hyderabad,pakistan,25.396,68.3578
2020-02-13,3.327055525612771e-08,hyderabad,pakistan,25.396,68.3578
2020-02-14,1.5275402152141773e-31,hyderabad,pakistan,25.396,68.3578
2020-02-15,4.273684133735569e-29,hyderabad,pakistan,25.396,68.3578
2020-02-16,6.202979715895526e-29,hyderabad,pakistan,25.396,68.3578
2020-02-17,8.528026786278464e-28,hyderabad,pakistan,25.396,68.3578
2020-02-18,5.372911210602901e-26,hyderabad,pakistan,25.396,68.3578
2020-02-19,1.2595672114258666e-28,hyderabad,pakistan,25.396,68.3578
2020-02-20,6.474995518977106e-28,hyderabad,pakistan,25.396,68.3578
2020-02-21,7.483682281402702e-28,hyderabad,pakistan,25.396,68.3578
2020-02-22,0.0,hyderabad,pakistan,25.396,68.3578
2020-02-23,0.0,hyderabad,pakistan,25.396,68.3578
2020-02-24,0.0,hyderabad,pakistan,25.396,68.3578
2020-02-25,0.0,hyderabad,pakistan,25.396,68.3578
2020-02-26,3.797427216428728e-10,hyderabad,pakistan,25.396,68.3578
2020-02-27,0.0,hyderabad,pakistan,25.396,68.3578
2020-02-28,0.0,hyderabad,pakistan,25.396,68.3578
2020-02-29,0.0,hyderabad,pakistan,25.396,68.3578
2020-03-01,2.5495852395579277,hyderabad,pakistan,25.396,68.3578
2020-03-02,0.5783647298812866,hyderabad,pakistan,25.396,68.3578
2020-03-03,0.0,hyderabad,pakistan,25.396,68.3578
2020-03-04,0.011352416913723573,hyderabad,pakistan,25.396,68.3578
2020-03-05,1.6474969168484677,hyderabad,pakistan,25.396,68.3578
2020-03-06,1.4342798385769129,hyderabad,pakistan,25.396,68.3578
2020-03-07,0.7450338453054428,hyderabad,pakistan,25.396,68.3578
2020-03-08,0.429785018786788,hyderabad,pakistan,25.396,68.3578
2020-03-09,0.11042576588806696,hyderabad,pakistan,25.396,68.3578
2020-03-10,0.0024879584088921547,hyderabad,pakistan,25.396,68.3578
2020-03-11,0.7324926322326064,hyderabad,pakistan,25.396,68.3578
2020-03-12,0.37119840508239577,hyderabad,pakistan,25.396,68.3578
2020-03-13,0.040927341834259834,hyderabad,pakistan,25.396,68.3578
2020-03-14,9.068918416232918e-06,hyderabad,pakistan,25.396,68.3578
2020-03-15,0.0,hyderabad,pakistan,25.396,68.3578
2020-03-16,2.914226207226256e-06,hyderabad,pakistan,25.396,68.3578
2020-03-17,0.0008967261829084805,hyderabad,pakistan,25.396,68.3578
2020-03-18,0.4437673743353798,hyderabad,pakistan,25.396,68.3578
2020-03-19,5.189628526568413,hyderabad,pakistan,25.396,68.3578
2020-03-20,0.478130578994751,hyderabad,pakistan,25.396,68.3578
2020-03-21,1.6457555318538653e-07,hyderabad,pakistan,25.396,68.3578
2020-03-22,0.027606955841004054,hyderabad,pakistan,25.396,68.3578
2020-03-23,0.04615523345413014,hyderabad,pakistan,25.396,68.3578
2020-03-24,7.834296792697415e-07,hyderabad,pakistan,25.396,68.3578
2020-03-25,1.8378919235162584e-21,hyderabad,pakistan,25.396,68.3578
2020-03-26,3.836006673830885e-05,hyderabad,pakistan,25.396,68.3578
2020-03-27,2.1164515452855533e-11,hyderabad,pakistan,25.396,68.3578
2020-03-28,1.7575528705492616,hyderabad,pakistan,25.396,68.3578
2020-03-29,0.0421428508543048,hyderabad,pakistan,25.396,68.3578
2020-03-30,0.04823026169426632,hyderabad,pakistan,25.396,68.3578
2020-03-31,0.00048674575716120446,hyderabad,pakistan,25.396,68.3578
2020-04-01,0.001590039061291626,hyderabad,pakistan,25.396,68.3578
2020-04-02,0.2290508011355996,hyderabad,pakistan,25.396,68.3578
2020-04-03,0.3099406720139086,hyderabad,pakistan,25.396,68.3578
2020-04-04,0.6729669159667245,hyderabad,pakistan,25.396,68.3578
2020-04-05,4.096772920902936e-07,hyderabad,pakistan,25.396,68.3578
2020-04-06,2.453373419120908,hyderabad,pakistan,25.396,68.3578
2020-04-07,0.09747046433892237,hyderabad,pakistan,25.396,68.3578
2020-04-08,0.0061072011703799944,hyderabad,pakistan,25.396,68.3578
2020-04-09,5.19396113549484,hyderabad,pakistan,25.396,68.3578
2020-04-10,0.0008110805307319503,hyderabad,pakistan,25.396,68.3578
2020-04-11,1.869816872608919e-06,hyderabad,pakistan,25.396,68.3578
2020-04-12,5.643485639548161e-06,hyderabad,pakistan,25.396,68.3578
2020-04-13,1.490252230134173e-05,hyderabad,pakistan,25.396,68.3578
2020-04-14,5.668589755941255e-06,hyderabad,pakistan,25.396,68.3578
2020-04-15,5.14230807937508e-07,hyderabad,pakistan,25.396,68.3578
2020-04-16,5.61281153430105e-06,hyderabad,pakistan,25.396,68.3578
2020-04-17,0.23741840191906513,hyderabad,pakistan,25.396,68.3578
2020-04-18,0.0738915711849586,hyderabad,pakistan,25.396,68.3578
2020-04-19,0.5653885450086715,hyderabad,pakistan,25.396,68.3578
2020-04-20,1.1834830351650227,hyderabad,pakistan,25.396,68.3578
2020-04-21,0.36250720149837434,hyderabad,pakistan,25.396,68.3578
2020-04-22,0.0037552867415517393,hyderabad,pakistan,25.396,68.3578
2020-04-23,1.8145902627197313e-09,hyderabad,pakistan,25.396,68.3578
2020-04-24,0.74806809425354,hyderabad,pakistan,25.396,68.3578
2020-04-25,0.09382754797115922,hyderabad,pakistan,25.396,68.3578
2020-04-26,3.9909057319164276,hyderabad,pakistan,25.396,68.3578
2020-04-27,2.039710362441838,hyderabad,pakistan,25.396,68.3578
2020-04-28,3.211283910786733,hyderabad,pakistan,25.396,68.3578
2020-04-29,0.13805572743972258,hyderabad,pakistan,25.396,68.3578
2020-04-30,0.0048674713945866255,hyderabad,pakistan,25.396,68.3578
2020-05-01,8.513855282217264,hyderabad,pakistan,25.396,68.3578
2020-05-02,0.3910705126450864,hyderabad,pakistan,25.396,68.3578
2020-05-03,0.22434239801833178,hyderabad,pakistan,25.396,68.3578
2020-05-04,0.001059928645252839,hyderabad,pakistan,25.396,68.3578
2020-05-05,1.424877173916055e-06,hyderabad,pakistan,25.396,68.3578
2020-05-06,0.2309219611561275,hyderabad,pakistan,25.396,68.3578
2020-05-07,2.2536260093147575,hyderabad,pakistan,25.396,68.3578
2020-05-08,3.7283229175955057,hyderabad,pakistan,25.396,68.3578
2020-05-09,0.033835315682040346,hyderabad,pakistan,25.396,68.3578
2020-05-10,0.06627409013873979,hyderabad,pakistan,25.396,68.3578
2020-05-11,0.0028658250770477725,hyderabad,pakistan,25.396,68.3578
2020-05-12,4.572445500525646,hyderabad,pakistan,25.396,68.3578
2020-05-13,0.5706397046993494,hyderabad,pakistan,25.396,68.3578
2020-05-14,1.1354040907463059e-05,hyderabad,pakistan,25.396,68.3578
2020-05-15,0.001518343866735817,hyderabad,pakistan,25.396,68.3578
2020-05-16,5.495410430338544,hyderabad,pakistan,25.396,68.3578
2020-05-17,4.124615527689457,hyderabad,pakistan,25.396,68.3578
2020-05-18,1.3867196626961231,hyderabad,pakistan,25.396,68.3578
2020-05-19,1.718546101301587,hyderabad,pakistan,25.396,68.3578
2020-05-20,4.7311612513443145e-09,hyderabad,pakistan,25.396,68.3578
2020-05-21,1.0219665823377743e-25,hyderabad,pakistan,25.396,68.3578
2020-05-22,1.704110290609965e-09,hyderabad,pakistan,25.396,68.3578
2020-05-23,1.4915698600679297e-06,hyderabad,pakistan,25.396,68.3578
2020-05-24,1.142175531582715e-06,hyderabad,pakistan,25.396,68.3578
2020-05-25,6.02203726884909e-06,hyderabad,pakistan,25.396,68.3578
2020-05-26,0.0,hyderabad,pakistan,25.396,68.3578
2020-05-27,2.3678990957950957e-05,hyderabad,pakistan,25.396,68.3578
2020-05-28,1.1329890931693904e-06,hyderabad,pakistan,25.396,68.3578
2020-05-29,2.1783282364594925,hyderabad,pakistan,25.396,68.3578
2020-05-30,1.024577021598816,hyderabad,pakistan,25.396,68.3578
2020-05-31,10.942898970097303,hyderabad,pakistan,25.396,68.3578
2020-06-01,5.8194950222969055,hyderabad,pakistan,25.396,68.3578
2020-06-02,14.146238565444946,hyderabad,pakistan,25.396,68.3578
2020-06-03,1.7074353760108352,hyderabad,pakistan,25.396,68.3578
2020-06-04,1.74720026407158,hyderabad,pakistan,25.396,68.3578
2020-06-05,0.09399130940437317,hyderabad,pakistan,25.396,68.3578
2020-06-06,0.0,hyderabad,pakistan,25.396,68.3578
2020-06-07,0.002969721390400082,hyderabad,pakistan,25.396,68.3578
2020-06-08,0.00042790925363078713,hyderabad,pakistan,25.396,68.3578
2020-06-09,10.169629007577896,hyderabad,pakistan,25.396,68.3578
2020-06-10,26.57296657562256,hyderabad,pakistan,25.396,68.3578
2020-06-11,26.45730972290039,hyderabad,pakistan,25.396,68.3578
2020-06-12,1.2342907164565986,hyderabad,pakistan,25.396,68.3578
2020-06-13,0.13866423560102703,hyderabad,pakistan,25.396,68.3578
2020-06-14,0.8490834385156631,hyderabad,pakistan,25.396,68.3578
2020-06-15,3.2997339963912964,hyderabad,pakistan,25.396,68.3578
2020-06-16,16.921466588974,hyderabad,pakistan,25.396,68.3578
2020-06-17,2.8615280985832214,hyderabad,pakistan,25.396,68.3578
2020-06-18,9.081852436065674,hyderabad,pakistan,25.396,68.3578
2020-06-19,0.9158199420198798,hyderabad,pakistan,25.396,68.3578
2020-06-20,3.69897389318794,hyderabad,pakistan,25.396,68.3578
2020-06-21,0.20160729764029384,hyderabad,pakistan,25.396,68.3578
2020-06-22,1.3071170425973833,hyderabad,pakistan,25.396,68.3578
2020-06-23,1.1201779707334936,hyderabad,pakistan,25.396,68.3578
2020-06-24,0.4435955925146118,hyderabad,pakistan,25.396,68.3578
2020-06-25,0.6375177064910531,hyderabad,pakistan,25.396,68.3578
2020-06-26,0.016586024867137894,hyderabad,pakistan,25.396,68.3578
2020-06-27,20.98254493321292,hyderabad,pakistan,25.396,68.3578
2020-06-28,4.495643824338913,hyderabad,pakistan,25.396,68.3578
2020-06-29,15.88858813047409,hyderabad,pakistan,25.396,68.3578
2020-06-30,1.4383479952812195,hyderabad,pakistan,25.396,68.3578
2020-07-01,5.652976781129837,hyderabad,pakistan,25.396,68.3578
2020-07-02,18.228453397750854,hyderabad,pakistan,25.396,68.3578
2020-07-03,6.846995651721954,hyderabad,pakistan,25.396,68.3578
2020-07-04,4.421014292165637,hyderabad,pakistan,25.396,68.3578
2020-07-05,13.427527248859406,hyderabad,pakistan,25.396,68.3578
2020-07-06,0.5636480855173431,hyderabad,pakistan,25.396,68.3578
2020-07-07,1.3942152680101572,hyderabad,pakistan,25.396,68.3578
2020-07-08,2.9774789727525786,hyderabad,pakistan,25.396,68.3578
2020-07-09,11.966407299041748,hyderabad,pakistan,25.396,68.3578
2020-07-10,10.129469633102417,hyderabad,pakistan,25.396,68.3578
2020-07-11,1.2753233313560486,hyderabad,pakistan,25.396,68.3578
2020-07-12,6.578868627548218,hyderabad,pakistan,25.396,68.3578
2020-07-13,13.908112049102783,hyderabad,pakistan,25.396,68.3578
2020-07-14,9.559929370880127,hyderabad,pakistan,25.396,68.3578
2020-07-15,32.7542245388031,hyderabad,pakistan,25.396,68.3578
2020-07-16,3.7149407900869846,hyderabad,pakistan,25.396,68.3578
2020-07-17,1.3979514129459858,hyderabad,pakistan,25.396,68.3578
2020-07-18,0.6787395395804197,hyderabad,pakistan,25.396,68.3578
2020-07-19,13.673311471939087,hyderabad,pakistan,25.396,68.3578
2020-07-20,5.946296453475952,hyderabad,pakistan,25.396,68.3578
2020-07-21,0.9697593748569489,hyderabad,pakistan,25.396,68.3578
2020-07-22,23.646622896194458,hyderabad,pakistan,25.396,68.3578
2020-07-23,10.699351876974106,hyderabad,pakistan,25.396,68.3578
2020-07-24,17.06796884536743,hyderabad,pakistan,25.396,68.3578
2020-07-25,1.1133937630802393,hyderabad,pakistan,25.396,68.3578
2020-07-26,0.014342903159558773,hyderabad,pakistan,25.396,68.3578
2020-07-27,0.00033700489439070225,hyderabad,pakistan,25.396,68.3578
2020-07-28,16.745272278785706,hyderabad,pakistan,25.396,68.3578
2020-07-29,4.861021041870117,hyderabad,pakistan,25.396,68.3578
2020-07-30,2.5269627571105957,hyderabad,pakistan,25.396,68.3578
2020-07-31,8.12441110610962,hyderabad,pakistan,25.396,68.3578
2020-08-01,11.521723866462708,hyderabad,pakistan,25.396,68.3578
2020-08-02,6.499723345041275,hyderabad,pakistan,25.396,68.3578
