date,PRECTOTCORR,region_name,country,latitude,longitude
2020-01-01,8.715240404355562e-08,lucknow,india,26.8467,80.9462
2020-01-02,1.4709257811773568,lucknow,india,26.8467,80.9462
2020-01-03,5.376826599240303,lucknow,india,26.8467,80.9462
2020-01-04,0.265289790666328,lucknow,india,26.8467,80.9462
2020-01-05,1.6590888664089199e-07,lucknow,india,26.8467,80.9462
2020-01-06,1.0372075603445293e-16,lucknow,india,26.8467,80.9462
2020-01-07,0.15930598019622266,lucknow,india,26.8467,80.9462
2020-01-08,4.042793903499842,lucknow,india,26.8467,80.9462
2020-01-09,1.0931317694485188,lucknow,india,26.8467,80.9462
2020-01-10,0.0006697799249222314,lucknow,india,26.8467,80.9462
2020-01-11,3.4625936247168457e-25,lucknow,india,26.8467,80.9462
2020-01-12,2.048961000866757e-09,lucknow,india,26.8467,80.9462
2020-01-13,1.4547822198673144e-09,lucknow,india,26.8467,80.9462
2020-01-14,0.13359398078023332,lucknow,india,26.8467,80.9462
2020-01-15,14.78646844625473,lucknow,india,26.8467,80.9462
2020-01-16,18.679533898830414,lucknow,india,26.8467,80.9462
2020-01-17,5.59384748339653,lucknow,india,26.8467,80.9462
2020-01-18,0.1707226037979126,lucknow,india,26.8467,80.9462
2020-01-19,5.151806981018581e-07,lucknow,india,26.8467,80.9462
2020-01-20,1.3131097900196333e-06,lucknow,india,26.8467,80.9462
2020-01-21,2.125936901039771e-08,lucknow,india,26.8467,80.9462
2020-01-22,1.894130165214225e-09,lucknow,india,26.8467,80.9462
2020-01-23,3.083562205574708e-06,lucknow,india,26.8467,80.9462
2020-01-24,1.7983661435017476e-13,lucknow,india,26.8467,80.9462
2020-01-25,3.2374746266640535e-06,lucknow,india,26.8467,80.9462
2020-01-26,1.3375308995010825e-06,lucknow,india,26.8467,80.9462
2020-01-27,5.897603279564824e-06,lucknow,india,26.8467,80.9462
2020-01-28,0.07609218082507141,lucknow,india,26.8467,80.9462
2020-01-29,1.4707038179039955,lucknow,india,26.8467,80.9462
2020-01-30,0.031000076521792153,lucknow,india,26.8467,80.9462
2020-01-31,0.008261845505330712,lucknow,india,26.8467,80.9462
2020-02-01,1.2418775039574337e-06,lucknow,india,26.8467,80.9462
2020-02-02,0.0,lucknow,india,26.8467,80.9462
2020-02-03,1.9693768915028793e-28,lucknow,india,26.8467,80.9462
2020-02-04,1.2034339979616684e-08,lucknow,india,26.8467,80.9462
2020-02-05,5.618369539296531e-15,lucknow,india,26.8467,80.9462
2020-02-06,1.9038730592058073e-07,lucknow,india,26.8467,80.9462
2020-02-07,8.338454994842245e-07,lucknow,india,26.8467,80.9462
2020-02-08,0.00036793056847574714,lucknow,india,26.8467,80.9462
2020-02-09,9.44528692299022e-26,lucknow,india,26.8467,80.9462
2020-02-10,9.203482412894587e-29,lucknow,india,26.8467,80.9462
2020-02-11,2.485472564565784e-28,lucknow,india,26.8467,80.9462
2020-02-12,8.735105438972823e-06,lucknow,india,26.8467,80.9462
2020-02-13,6.151879006210947e-08,lucknow,india,26.8467,80.9462
2020-02-14,5.484197384656216e-25,lucknow,india,26.8467,80.9462
2020-02-15,1.41999296282157e-27,lucknow,india,26.8467,80.9462
2020-02-16,1.7537578258900932e-28,lucknow,india,26.8467,80.9462
2020-02-17,4.9853072768655863e-29,lucknow,india,26.8467,80.9462
2020-02-18,1.7891320210745293e-21,lucknow,india,26.8467,80.9462
2020-02-19,1.446088857664262e-09,lucknow,india,26.8467,80.9462
2020-02-20,1.5945390528127512,lucknow,india,26.8467,80.9462
2020-02-21,5.57917810510844,lucknow,india,26.8467,80.9462
2020-02-22,0.5312953144311905,lucknow,india,26.8467,80.9462
2020-02-23,0.010410218965262175,lucknow,india,26.8467,80.9462
2020-02-24,8.566063642501831,lucknow,india,26.8467,80.9462
2020-02-25,9.468648140318692,lucknow,india,26.8467,80.9462
2020-02-26,0.8964556917590016,lucknow,india,26.8467,80.9462
2020-02-27,7.758357721890391e-07,lucknow,india,26.8467,80.9462
2020-02-28,1.0047760776138369e-08,lucknow,india,26.8467,80.9462
2020-02-29,0.06488182803021658,lucknow,india,26.8467,80.9462
2020-03-01,0.0007142429240047932,lucknow,india,26.8467,80.9462
2020-03-02,0.0,lucknow,india,26.8467,80.9462
2020-03-03,6.545683994829687e-07,lucknow,india,26.8467,80.9462
2020-03-04,1.4716004983313047,lucknow,india,26.8467,80.9462
2020-03-05,5.779844848439097,lucknow,india,26.8467,80.9462
2020-03-06,13.871057331562042,lucknow,india,26.8467,80.9462
2020-03-07,1.8616427000281988,lucknow,india,26.8467,80.9462
2020-03-08,3.138161020106722e-05,lucknow,india,26.8467,80.9462
2020-03-09,0.000541455960360003,lucknow,india,26.8467,80.9462
2020-03-10,0.21825893103084582,lucknow,india,26.8467,80.9462
2020-03-11,0.29090819888040187,lucknow,india,26.8467,80.9462
2020-03-12,8.805516149732284,lucknow,india,26.8467,80.9462
2020-03-13,17.124878615140915,lucknow,india,26.8467,80.9462
2020-03-14,0.07688174955546856,lucknow,india,26.8467,80.9462
2020-03-15,0.35765429973912966,lucknow,india,26.8467,80.9462
2020-03-16,4.380144392239126e-09,lucknow,india,26.8467,80.9462
2020-03-17,1.872659067865434e-09,lucknow,india,26.8467,80.9462
2020-03-18,1.1461127994780464e-10,lucknow,india,26.8467,80.9462
2020-03-19,7.333482425430545e-10,lucknow,india,26.8467,80.9462
2020-03-20,0.13726879164586117,lucknow,india,26.8467,80.9462
2020-03-21,1.1912222373887005,lucknow,india,26.8467,80.9462
2020-03-22,0.2831726066304441,lucknow,india,26.8467,80.9462
2020-03-23,0.2066373850169355,lucknow,india,26.8467,80.9462
2020-03-24,1.1595291980956658e-05,lucknow,india,26.8467,80.9462
2020-03-25,3.3731898844893757e-06,lucknow,india,26.8467,80.9462
2020-03-26,3.5549206725909673e-07,lucknow,india,26.8467,80.9462
2020-03-27,2.087098413991839,lucknow,india,26.8467,80.9462
2020-03-28,0.0015256252158840633,lucknow,india,26.8467,80.9462
2020-03-29,6.179505149771225e-12,lucknow,india,26.8467,80.9462
2020-03-30,4.310372381070954e-21,lucknow,india,26.8467,80.9462
2020-03-31,4.029605099361473e-10,lucknow,india,26.8467,80.9462
2020-04-01,9.973688760815669e-06,lucknow,india,26.8467,80.9462
2020-04-02,1.8093218798198585e-07,lucknow,india,26.8467,80.9462
2020-04-03,0.0,lucknow,india,26.8467,80.9462
2020-04-04,1.0928624490964692e-13,lucknow,india,26.8467,80.9462
2020-04-05,6.664287733878549e-12,lucknow,india,26.8467,80.9462
2020-04-06,8.907764400297047e-15,lucknow,india,26.8467,80.9462
2020-04-07,1.2981145690423755e-12,lucknow,india,26.8467,80.9462
2020-04-08,6.040377314543564e-08,lucknow,india,26.8467,80.9462
2020-04-09,0.0004263838601939183,lucknow,india,26.8467,80.9462
2020-04-10,0.001102639572081275,lucknow,india,26.8467,80.9462
2020-04-11,0.00034323913278940915,lucknow,india,26.8467,80.9462
2020-04-12,8.044936295261673e-22,lucknow,india,26.8467,80.9462
2020-04-13,7.48161298683868e-11,lucknow,india,26.8467,80.9462
2020-04-14,1.2546475878125424e-06,lucknow,india,26.8467,80.9462
