date,PRECTOTCORR,region_name,country,latitude,longitude
2020-01-01,1.5708987612656818e-07,multan,pakistan,30.1575,71.5249
2020-01-02,4.8865827584343435e-05,multan,pakistan,30.1575,71.5249
2020-01-03,1.322089906599979e-07,multan,pakistan,30.1575,71.5249
2020-01-04,0.0031930284753328014,multan,pakistan,30.1575,71.5249
2020-01-05,3.924323638784699,multan,pakistan,30.1575,71.5249
2020-01-06,6.8977296352386475,multan,pakistan,30.1575,71.5249
2020-01-07,0.021882854670307594,multan,pakistan,30.1575,71.5249
2020-01-08,0.007420245299229503,multan,pakistan,30.1575,71.5249
2020-01-09,1.9546864344696634e-12,multan,pakistan,30.1575,71.5249
2020-01-10,6.22928151944599e-08,multan,pakistan,30.1575,71.5249
2020-01-11,0.027180457478337416,multan,pakistan,30.1575,71.5249
2020-01-12,9.846571271138949,multan,pakistan,30.1575,71.5249
2020-01-13,7.315684713939108,multan,pakistan,30.1575,71.5249
2020-01-14,0.019178259253498874,multan,pakistan,30.1575,71.5249
2020-01-15,1.1839120793951156e-09,multan,pakistan,30.1575,71.5249
2020-01-16,1.5235664292678752e-11,multan,pakistan,30.1575,71.5249
2020-01-17,6.227129863993437e-12,multan,pakistan,30.1575,71.5249
2020-01-18,2.3098954389857984e-12,multan,pakistan,30.1575,71.5249
2020-01-19,1.9703551379404256e-07,multan,pakistan,30.1575,71.5249
2020-01-20,2.3723207323578244e-05,multan,pakistan,30.1575,71.5249
2020-01-21,5.5507842072755054e-08,multan,pakistan,30.1575,71.5249
2020-01-22,2.361850813363542e-05,multan,pakistan,30.1575,71.5249
2020-01-23,3.120427347810642e-20,multan,pakistan,30.1575,71.5249
2020-01-24,7.958188351099039e-20,multan,pakistan,30.1575,71.5249
2020-01-25,0.010550557099975322,multan,pakistan,30.1575,71.5249
2020-01-26,0.015563056286393984,multan,pakistan,30.1575,71.5249
2020-01-27,1.2942630797624588,multan,pakistan,30.1575,71.5249
2020-01-28,0.07829337101838973,multan,pakistan,30.1575,71.5249
2020-01-29,0.001659413879906424,multan,pakistan,30.1575,71.5249
2020-01-30,4.000365741788081e-07,multan,pakistan,30.1575,71.5249
2020-01-31,2.431318141575449e-05,multan,pakistan,30.1575,71.5249
2020-02-01,8.540531591829091e-14,multan,pakistan,30.1575,71.5249
2020-02-02,2.2288156157669304e-21,multan,pakistan,30.1575,71.5249
2020-02-03,0.03568431015389464,multan,pakistan,30.1575,71.5249
2020-02-04,0.7086894940584898,multan,pakistan,30.1575,71.5249
2020-02-05,0.2614351605540022,multan,pakistan,30.1575,71.5249
2020-02-06,6.3947441291016084e-15,multan,pakistan,30.1575,71.5249
2020-02-07,0.0,multan,pakistan,30.1575,71.5249
2020-02-08,5.844465527836394e-27,multan,pakistan,30.1575,71.5249
2020-02-09,2.835693542880131e-19,multan,pakistan,30.1575,71.5249
2020-02-10,6.567312481647958e-12,multan,pakistan,30.1575,71.5249
2020-02-11,1.1206072384313525e-05,multan,pakistan,30.1575,71.5249
2020-02-12,9.962514013750479e-06,multan,pakistan,30.1575,71.5249
2020-02-13,2.0516454379143623e-06,multan,pakistan,30.1575,71.5249
2020-02-14,5.35148211315662e-32,multan,pakistan,30.1575,71.5249
2020-02-15,2.727138218825903e-20,multan,pakistan,30.1575,71.5249
2020-02-16,1.1713244010081874e-20,multan,pakistan,30.1575,71.5249
2020-02-17,1.0783665478035038e-20,multan,pakistan,30.1575,71.5249
2020-02-18,6.639807151540582e-10,multan,pakistan,30.1575,71.5249
2020-02-19,2.11232545802387e-10,multan,pakistan,30.1575,71.5249
2020-02-20,1.493392054189872e-06,multan,pakistan,30.1575,71.5249
2020-02-21,1.8718784522420231e-06,multan,pakistan,30.1575,71.5249
2020-02-22,1.346058000169714e-07,multan,pakistan,30.1575,71.5249
2020-02-23,1.8933145551467812e-06,multan,pakistan,30.1575,71.5249
2020-02-24,1.9318281374580692e-05,multan,pakistan,30.1575,71.5249
2020-02-25,1.1921207077391223e-17,multan,pakistan,30.1575,71.5249
2020-02-26,1.3961109902852067e-11,multan,pakistan,30.1575,71.5249
2020-02-27,0.028798832506473474,multan,pakistan,30.1575,71.5249
2020-02-28,21.938769476697793,multan,pakistan,30.1575,71.5249
2020-02-29,0.31239476085644924,multan,pakistan,30.1575,71.5249
2020-03-01,5.114898762883212e-06,multan,pakistan,30.1575,71.5249
2020-03-02,5.74925498920653e-15,multan,pakistan,30.1575,71.5249
2020-03-03,0.8655908323342911,multan,pakistan,30.1575,71.5249
2020-03-04,18.123552098404616,multan,pakistan,30.1575,71.5249
2020-03-05,25.642213225364685,multan,pakistan,30.1575,71.5249
2020-03-06,39.5483672618866,multan,pakistan,30.1575,71.5249
2020-03-07,0.3695033524194896,multan,pakistan,30.1575,71.5249
2020-03-08,2.2252569162328761e-07,multan,pakistan,30.1575,71.5249
2020-03-09,5.021468097586074e-12,multan,pakistan,30.1575,71.5249
2020-03-10,3.2910700177401933,multan,pakistan,30.1575,71.5249
2020-03-11,214.51431792229414,multan,pakistan,30.1575,71.5249
2020-03-12,0.8348201210765183,multan,pakistan,30.1575,71.5249
2020-03-13,0.7141649723052979,multan,pakistan,30.1575,71.5249
2020-03-14,3.1133826766671646e-08,multan,pakistan,30.1575,71.5249
2020-03-15,7.104698641902107e-07,multan,pakistan,30.1575,71.5249
2020-03-16,5.411375847419464e-07,multan,pakistan,30.1575,71.5249
2020-03-17,0.8507984525177704,multan,pakistan,30.1575,71.5249
2020-03-18,1.6632045761726805e-05,multan,pakistan,30.1575,71.5249
