PRECTOTCORR,lat,lon,datetime,region_name,country,latitude,longitude
3.12718601014339e-12,30.0,71.25,2020-01-01 00:30:00,multan,pakistan,30.1575,71.5249
1.2043491204316581e-11,30.0,71.25,2020-01-01 01:30:00,multan,pakistan,30.1575,71.5249
2.3368806889578764e-11,30.0,71.25,2020-01-01 02:30:00,multan,pakistan,30.1575,71.5249
4.0092928976775966e-11,30.0,71.25,2020-01-01 03:30:00,multan,pakistan,30.1575,71.5249
4.6512793616670933e-11,30.0,71.25,2020-01-01 04:30:00,multan,pakistan,30.1575,71.5249
4.844874501586105e-11,30.0,71.25,2020-01-01 05:30:00,multan,pakistan,30.1575,71.5249
4.262840080926367e-11,30.0,71.25,2020-01-01 06:30:00,multan,pakistan,30.1575,71.5249
1.1475195793586579e-11,30.0,71.25,2020-01-01 07:30:00,multan,pakistan,30.1575,71.5249
3.1264053845792006e-13,30.0,71.25,2020-01-01 08:30:00,multan,pakistan,30.1575,71.5249
5.841350962502469e-17,30.0,71.25,2020-01-01 09:30:00,multan,pakistan,30.1575,71.5249
1.1494711432691318e-13,30.0,71.25,2020-01-01 10:30:00,multan,pakistan,30.1575,71.5249
1.0694570229397016e-12,30.0,71.25,2020-01-01 11:30:00,multan,pakistan,30.1575,71.5249
9.604816941788386e-12,30.0,71.25,2020-01-01 12:30:00,multan,pakistan,30.1575,71.5249
1.68365321684405e-11,30.0,71.25,2020-01-01 13:30:00,multan,pakistan,30.1575,71.5249
1.1631320906424492e-11,30.0,71.25,2020-01-01 14:30:00,multan,pakistan,30.1575,71.5249
7.447167882368433e-12,30.0,71.25,2020-01-01 15:30:00,multan,pakistan,30.1575,71.5249
3.2271060823596542e-12,30.0,71.25,2020-01-01 16:30:00,multan,pakistan,30.1575,71.5249
1.6572680727744427e-12,30.0,71.25,2020-01-01 17:30:00,multan,pakistan,30.1575,71.5249
1.9396984018982266e-11,30.0,71.25,2020-01-01 18:30:00,multan,pakistan,30.1575,71.5249
2.7448043837807745e-10,30.0,71.25,2020-01-01 19:30:00,multan,pakistan,30.1575,71.5249
9.672262990534364e-10,30.0,71.25,2020-01-01 20:30:00,multan,pakistan,30.1575,71.5249
3.2166269647859735e-08,30.0,71.25,2020-01-01 21:30:00,multan,pakistan,30.1575,71.5249
9.011671409098199e-08,30.0,71.25,2020-01-01 22:30:00,multan,pakistan,30.1575,71.5249
3.326618980281637e-08,30.0,71.25,2020-01-01 23:30:00,multan,pakistan,30.1575,71.5249
1.6754597709223162e-09,30.0,71.25,2020-01-02 00:30:00,multan,pakistan,30.1575,71.5249
4.662270569610882e-10,30.0,71.25,2020-01-02 01:30:00,multan,pakistan,30.1575,71.5249
2.204636473379651e-09,30.0,71.25,2020-01-02 02:30:00,multan,pakistan,30.1575,71.5249
4.649336915463209e-07,30.0,71.25,2020-01-02 03:30:00,multan,pakistan,30.1575,71.5249
1.2222517398186028e-05,30.0,71.25,2020-01-02 04:30:00,multan,pakistan,30.1575,71.5249
6.836489774286747e-06,30.0,71.25,2020-01-02 05:30:00,multan,pakistan,30.1575,71.5249
6.812342689954676e-07,30.0,71.25,2020-01-02 06:30:00,multan,pakistan,30.1575,71.5249
3.1575382308801636e-07,30.0,71.25,2020-01-02 07:30:00,multan,pakistan,30.1575,71.5249
3.2271145755657926e-07,30.0,71.25,2020-01-02 08:30:00,multan,pakistan,30.1575,71.5249
1.8258674572280142e-07,30.0,71.25,2020-01-02 09:30:00,multan,pakistan,30.1575,71.5249
4.718145873994217e-08,30.0,71.25,2020-01-02 10:30:00,multan,pakistan,30.1575,71.5249
1.6370904631912708e-07,30.0,71.25,2020-01-02 11:30:00,multan,pakistan,30.1575,71.5249
8.019185315788491e-08,30.0,71.25,2020-01-02 12:30:00,multan,pakistan,30.1575,71.5249
1.376179170620162e-07,30.0,71.25,2020-01-02 13:30:00,multan,pakistan,30.1575,71.5249
6.049049261491746e-07,30.0,71.25,2020-01-02 14:30:00,multan,pakistan,30.1575,71.5249
2.034084900515154e-06,30.0,71.25,2020-01-02 15:30:00,multan,pakistan,30.1575,71.5249
3.7014615372754633e-06,30.0,71.25,2020-01-02 16:30:00,multan,pakistan,30.1575,71.5249
