date,PRECTOTCORR,region_name,country,latitude,longitude
2020-01-01,3.8370837649424894e-05,mumbai,india,19.076,72.8777
2020-01-02,0.0286504292034806,mumbai,india,19.076,72.8777
2020-01-03,0.002071186360272717,mumbai,india,19.076,72.8777
2020-01-04,1.2531317854006656e-29,mumbai,india,19.076,72.8777
2020-01-05,0.046271772759798324,mumbai,india,19.076,72.8777
2020-01-06,8.201401062810781e-05,mumbai,india,19.076,72.8777
2020-01-07,0.003635255430028961,mumbai,india,19.076,72.8777
2020-01-08,0.0010139806818187935,mumbai,india,19.076,72.8777
2020-01-09,4.6198357932149964e-08,mumbai,india,19.076,72.8777
2020-01-10,2.19444344726899e-07,mumbai,india,19.076,72.8777
2020-01-11,4.878034975952517e-07,mumbai,india,19.076,72.8777
2020-01-12,0.011690656256857501,mumbai,india,19.076,72.8777
2020-01-13,0.03758231823667302,mumbai,india,19.076,72.8777
2020-01-14,0.0018587996517993588,mumbai,india,19.076,72.8777
2020-01-15,0.0006017521353207655,mumbai,india,19.076,72.8777
2020-01-16,6.438154619894249e-05,mumbai,india,19.076,72.8777
2020-01-17,1.131211039476034e-29,mumbai,india,19.076,72.8777
2020-01-18,7.475048583046293e-09,mumbai,india,19.076,72.8777
2020-01-19,1.840755321606824e-07,mumbai,india,19.076,72.8777
2020-01-20,0.0016473739927691522,mumbai,india,19.076,72.8777
2020-01-21,4.7424466335342234e-09,mumbai,india,19.076,72.8777
2020-01-22,7.986983879349277e-06,mumbai,india,19.076,72.8777
2020-01-23,7.805160033916292e-09,mumbai,india,19.076,72.8777
2020-01-24,1.0844637136302193e-06,mumbai,india,19.076,72.8777
2020-01-25,8.203545380844465e-09,mumbai,india,19.076,72.8777
2020-01-26,2.3686928843566857e-10,mumbai,india,19.076,72.8777
2020-01-27,0.004692726573279983,mumbai,india,19.076,72.8777
2020-01-28,0.02800431379910151,mumbai,india,19.076,72.8777
2020-01-29,7.431529423288484e-05,mumbai,india,19.076,72.8777
2020-01-30,7.129297152630443e-11,mumbai,india,19.076,72.8777
2020-01-31,0.0,mumbai,india,19.076,72.8777
2020-02-01,0.011776788186346199,mumbai,india,19.076,72.8777
