date,PRECTOTCORR,region_name,country,latitude,longitude
2020-01-01,0.004871227336055648,rawalpindi,pakistan,33.5651,73.0169
2020-01-02,0.037579753312000364,rawalpindi,pakistan,33.5651,73.0169
2020-01-03,0.18106382922269404,rawalpindi,pakistan,33.5651,73.0169
2020-01-04,0.14920588591849082,rawalpindi,pakistan,33.5651,73.0169
2020-01-05,0.46354493969360533,rawalpindi,pakistan,33.5651,73.0169
2020-01-06,10.648798942565918,rawalpindi,pakistan,33.5651,73.0169
2020-01-07,1.8301114439964294,rawalpindi,pakistan,33.5651,73.0169
2020-01-08,2.060246007463107,rawalpindi,pakistan,33.5651,73.0169
2020-01-09,2.668445939533322e-10,rawalpindi,pakistan,33.5651,73.0169
2020-01-10,1.4008180589417196e-13,rawalpindi,pakistan,33.5651,73.0169
2020-01-11,0.5599298203942614,rawalpindi,pakistan,33.5651,73.0169
2020-01-12,3.554663190152496,rawalpindi,pakistan,33.5651,73.0169
2020-01-13,41.61848947405815,rawalpindi,pakistan,33.5651,73.0169
2020-01-14,0.05714597900805529,rawalpindi,pakistan,33.5651,73.0169
2020-01-15,0.26991546037606895,rawalpindi,pakistan,33.5651,73.0169
2020-01-16,0.059674251879116014,rawalpindi,pakistan,33.5651,73.0169
2020-01-17,1.3625004032338014e-05,rawalpindi,pakistan,33.5651,73.0169
2020-01-18,3.5851840246570177e-07,rawalpindi,pakistan,33.5651,73.0169
2020-01-19,0.0,rawalpindi,pakistan,33.5651,73.0169
2020-01-20,0.9003070037579164,rawalpindi,pakistan,33.5651,73.0169
2020-01-21,2.5983268569689244,rawalpindi,pakistan,33.5651,73.0169
2020-01-22,0.0035474830433201987,rawalpindi,pakistan,33.5651,73.0169
2020-01-23,7.76290595766397e-09,rawalpindi,pakistan,33.5651,73.0169
2020-01-24,2.716449368454088e-12,rawalpindi,pakistan,33.5651,73.0169
2020-01-25,0.005599287510449358,rawalpindi,pakistan,33.5651,73.0169
2020-01-26,3.1111579514408336e-06,rawalpindi,pakistan,33.5651,73.0169
2020-01-27,2.562536330151488,rawalpindi,pakistan,33.5651,73.0169
2020-01-28,18.49670112133026,rawalpindi,pakistan,33.5651,73.0169
2020-01-29,2.8466646841479815,rawalpindi,pakistan,33.5651,73.0169
2020-01-30,3.819823177764192e-05,rawalpindi,pakistan,33.5651,73.0169
2020-01-31,0.06187114963722706,rawalpindi,pakistan,33.5651,73.0169
2020-02-01,1.869773508081146e-07,rawalpindi,pakistan,33.5651,73.0169
2020-02-02,3.91062563045833e-14,rawalpindi,pakistan,33.5651,73.0169
2020-02-03,6.878833973990978e-18,rawalpindi,pakistan,33.5651,73.0169
2020-02-04,0.03286360014840284,rawalpindi,pakistan,33.5651,73.0169
2020-02-05,1.922616940652766e-07,rawalpindi,pakistan,33.5651,73.0169
2020-02-06,0.4340232706203262,rawalpindi,pakistan,33.5651,73.0169
2020-02-07,6.761049563958066e-07,rawalpindi,pakistan,33.5651,73.0169
2020-02-08,0.0,rawalpindi,pakistan,33.5651,73.0169
2020-02-09,3.0263190940929906e-15,rawalpindi,pakistan,33.5651,73.0169
2020-02-10,0.00012659872374181527,rawalpindi,pakistan,33.5651,73.0169
2020-02-11,0.7747890776954591,rawalpindi,pakistan,33.5651,73.0169
2020-02-12,0.4904605681076646,rawalpindi,pakistan,33.5651,73.0169
2020-02-13,0.5478117576330988,rawalpindi,pakistan,33.5651,73.0169
2020-02-14,1.3547930351795542e-06,rawalpindi,pakistan,33.5651,73.0169
2020-02-15,3.694022214418496e-12,rawalpindi,pakistan,33.5651,73.0169
2020-02-16,1.3334358977574549e-12,rawalpindi,pakistan,33.5651,73.0169
2020-02-17,3.150218360044791e-16,rawalpindi,pakistan,33.5651,73.0169
2020-02-18,8.961717981549591e-13,rawalpindi,pakistan,33.5651,73.0169
2020-02-19,15.03840833902359,rawalpindi,pakistan,33.5651,73.0169
2020-02-20,18.798785749822855,rawalpindi,pakistan,33.5651,73.0169
2020-02-21,0.024340370582083635,rawalpindi,pakistan,33.5651,73.0169
2020-02-22,2.1839176421454337e-06,rawalpindi,pakistan,33.5651,73.0169
2020-02-23,6.294457409117423e-07,rawalpindi,pakistan,33.5651,73.0169
2020-02-24,410.0543592909851,rawalpindi,pakistan,33.5651,73.0169
2020-02-25,1.7047028564832876,rawalpindi,pakistan,33.5651,73.0169
2020-02-26,1.1301949603301834e-07,rawalpindi,pakistan,33.5651,73.0169
2020-02-27,13.957482591441767,rawalpindi,pakistan,33.5651,73.0169
2020-02-28,64.46392396464944,rawalpindi,pakistan,33.5651,73.0169
2020-02-29,50.29565691947937,rawalpindi,pakistan,33.5651,73.0169
2020-03-01,2.7844059173358096,rawalpindi,pakistan,33.5651,73.0169
2020-03-02,0.04570949749904685,rawalpindi,pakistan,33.5651,73.0169
2020-03-03,1.0738222324302874e-05,rawalpindi,pakistan,33.5651,73.0169
2020-03-04,3.756187064911387,rawalpindi,pakistan,33.5651,73.0169
2020-03-05,28.604024089872837,rawalpindi,pakistan,33.5651,73.0169
2020-03-06,19.831405207514763,rawalpindi,pakistan,33.5651,73.0169
2020-03-07,32.9015851020813,rawalpindi,pakistan,33.5651,73.0169
2020-03-08,25.14412655209526,rawalpindi,pakistan,33.5651,73.0169
2020-03-09,136.82098403888034,rawalpindi,pakistan,33.5651,73.0169
2020-03-10,0.008306132521909704,rawalpindi,pakistan,33.5651,73.0169
2020-03-11,20.398083992998295,rawalpindi,pakistan,33.5651,73.0169
2020-03-12,21.95966873987345,rawalpindi,pakistan,33.5651,73.0169
2020-03-13,0.20455256949389877,rawalpindi,pakistan,33.5651,73.0169
2020-03-14,0.020895284785038548,rawalpindi,pakistan,33.5651,73.0169
2020-03-15,1.1239693953759708,rawalpindi,pakistan,33.5651,73.0169
2020-03-16,3.816159754697641e-07,rawalpindi,pakistan,33.5651,73.0169
2020-03-17,0.12121447266082441,rawalpindi,pakistan,33.5651,73.0169
2020-03-18,0.012228044215589762,rawalpindi,pakistan,33.5651,73.0169
2020-03-19,0.01001113560050726,rawalpindi,pakistan,33.5651,73.0169
2020-03-20,3.025688719935715,rawalpindi,pakistan,33.5651,73.0169
2020-03-21,12.484943680465221,rawalpindi,pakistan,33.5651,73.0169
2020-03-22,0.09059218573383987,rawalpindi,pakistan,33.5651,73.0169
2020-03-23,11.117437854409218,rawalpindi,pakistan,33.5651,73.0169
2020-03-24,26.69382020831108,rawalpindi,pakistan,33.5651,73.0169
2020-03-25,3.2915856209001504,rawalpindi,pakistan,33.5651,73.0169
2020-03-26,0.5595269790148905,rawalpindi,pakistan,33.5651,73.0169
2020-03-27,97.73797988891602,rawalpindi,pakistan,33.5651,73.0169
2020-03-28,7.418292760848999,rawalpindi,pakistan,33.5651,73.0169
2020-03-29,0.12379948943905816,rawalpindi,pakistan,33.5651,73.0169
2020-03-30,0.08237996572262318,rawalpindi,pakistan,33.5651,73.0169
