date,U10M,region_name,country,latitude,longitude
2020-01-01,-2.9896640876928964,bengaluru,india,12.9716,77.5946
2020-01-02,-2.11774613459905,bengaluru,india,12.9716,77.5946
2020-01-03,-1.0956341500083606,bengaluru,india,12.9716,77.5946
2020-01-04,-0.3556903898715973,bengaluru,india,12.9716,77.5946
2020-01-05,-2.612701694170634,bengaluru,india,12.9716,77.5946
2020-01-06,-4.401529560486476,bengaluru,india,12.9716,77.5946
2020-01-07,-4.031228120128314,bengaluru,india,12.9716,77.5946
2020-01-08,-2.543298661708832,bengaluru,india,12.9716,77.5946
2020-01-09,-2.242621863881747,bengaluru,india,12.9716,77.5946
2020-01-10,-4.504087885220845,bengaluru,india,12.9716,77.5946
2020-01-11,-4.170201460520427,bengaluru,india,12.9716,77.5946
2020-01-12,-3.4357111106316247,bengaluru,india,12.9716,77.5946
2020-01-13,-1.8334238181511562,bengaluru,india,12.9716,77.5946
2020-01-14,-2.4595035140713057,bengaluru,india,12.9716,77.5946
2020-01-15,-3.324777772029241,bengaluru,india,12.9716,77.5946
2020-01-16,-2.5902949074904122,bengaluru,india,12.9716,77.5946
2020-01-17,-2.9582132498423257,bengaluru,india,12.9716,77.5946
2020-01-18,-3.7020040353139243,bengaluru,india,12.9716,77.5946
2020-01-19,-3.4462403456370034,bengaluru,india,12.9716,77.5946
2020-01-20,-3.8863109946250916,bengaluru,india,12.9716,77.5946
2020-01-21,-4.243120988210042,bengaluru,india,12.9716,77.5946
2020-01-22,-4.678175985813141,bengaluru,india,12.9716,77.5946
2020-01-23,-4.142021924257278,bengaluru,india,12.9716,77.5946
2020-01-24,-3.59705459078153,bengaluru,india,12.9716,77.5946
2020-01-25,-3.0300584584474564,bengaluru,india,12.9716,77.5946
2020-01-26,-2.233146163634956,bengaluru,india,12.9716,77.5946
2020-01-27,-1.45244990910093,bengaluru,india,12.9716,77.5946
2020-01-28,-0.03478169068694115,bengaluru,india,12.9716,77.5946
2020-01-29,-0.752252534031868,bengaluru,india,12.9716,77.5946
2020-01-30,-0.41237521171569824,bengaluru,india,12.9716,77.5946
2020-01-31,-1.937151814500491,bengaluru,india,12.9716,77.5946
2020-02-01,-3.4509492218494415,bengaluru,india,12.9716,77.5946
2020-02-02,-4.026116083065669,bengaluru,india,12.9716,77.5946
2020-02-03,-3.81110147635142,bengaluru,india,12.9716,77.5946
2020-02-04,-3.2544168134530387,bengaluru,india,12.9716,77.5946
2020-02-05,-2.865288724501928,bengaluru,india,12.9716,77.5946
2020-02-06,-1.7940408885478973,bengaluru,india,12.9716,77.5946
2020-02-07,-0.9280370523532232,bengaluru,india,12.9716,77.5946
2020-02-08,-0.36598354826370877,bengaluru,india,12.9716,77.5946
2020-02-09,-4.2345505356788635,bengaluru,india,12.9716,77.5946
2020-02-10,-5.146325985590617,bengaluru,india,12.9716,77.5946
2020-02-11,-5.167111337184906,bengaluru,india,12.9716,77.5946
2020-02-12,-4.4880772431691485,bengaluru,india,12.9716,77.5946
2020-02-13,-3.053212727109591,bengaluru,india,12.9716,77.5946
2020-02-14,-1.7148793364564578,bengaluru,india,12.9716,77.5946
2020-02-15,-2.139882408082485,bengaluru,india,12.9716,77.5946
2020-02-16,-3.7541135052839913,bengaluru,india,12.9716,77.5946
2020-02-17,-3.8170347809791565,bengaluru,india,12.9716,77.5946
2020-02-18,-3.8106290698051453,bengaluru,india,12.9716,77.5946
2020-02-19,-3.8382600446542106,bengaluru,india,12.9716,77.5946
2020-02-20,-4.28164870540301,bengaluru,india,12.9716,77.5946
2020-02-21,-4.179493655761083,bengaluru,india,12.9716,77.5946
2020-02-22,-4.425856858491898,bengaluru,india,12.9716,77.5946
2020-02-23,-4.07851254940033,bengaluru,india,12.9716,77.5946
2020-02-24,-3.476712023218473,bengaluru,india,12.9716,77.5946
2020-02-25,-2.3855687230825424,bengaluru,india,12.9716,77.5946
