date,U10M,region_name,country,latitude,longitude
2020-01-01,0.03625548258423805,colombo,sri lanka,6.9271,79.8612
2020-01-02,-1.2712005997697513,colombo,sri lanka,6.9271,79.8612
2020-01-03,0.22340932612617811,colombo,sri lanka,6.9271,79.8612
2020-01-04,-0.028863032658894856,colombo,sri lanka,6.9271,79.8612
2020-01-05,-1.4100395093361537,colombo,sri lanka,6.9271,79.8612
2020-01-06,-2.7643631994724274,colombo,sri lanka,6.9271,79.8612
2020-01-07,-2.830829362074534,colombo,sri lanka,6.9271,79.8612
2020-01-08,-3.0406945198774338,colombo,sri lanka,6.9271,79.8612
2020-01-09,-2.273017371694247,colombo,sri lanka,6.9271,79.8612
2020-01-10,-2.2503850559393563,colombo,sri lanka,6.9271,79.8612
2020-01-11,-1.9079194019238155,colombo,sri lanka,6.9271,79.8612
2020-01-12,-2.4417129109303155,colombo,sri lanka,6.9271,79.8612
2020-01-13,-2.4007456128795943,colombo,sri lanka,6.9271,79.8612
2020-01-14,-2.2807159597675004,colombo,sri lanka,6.9271,79.8612
2020-01-15,-1.9844642818594973,colombo,sri lanka,6.9271,79.8612
2020-01-16,-0.8418659071127573,colombo,sri lanka,6.9271,79.8612
2020-01-17,-0.5526384562253952,colombo,sri lanka,6.9271,79.8612
2020-01-18,-1.1981410297254722,colombo,sri lanka,6.9271,79.8612
2020-01-19,-1.7333522662520409,colombo,sri lanka,6.9271,79.8612
2020-01-20,-2.3112377896904945,colombo,sri lanka,6.9271,79.8612
2020-01-21,-2.491350993514061,colombo,sri lanka,6.9271,79.8612
2020-01-22,-2.806919495264689,colombo,sri lanka,6.9271,79.8612
2020-01-23,-2.9752738873163858,colombo,sri lanka,6.9271,79.8612
2020-01-24,-2.994525690873464,colombo,sri lanka,6.9271,79.8612
2020-01-25,-2.5868008260925612,colombo,sri lanka,6.9271,79.8612
2020-01-26,-2.183771243939797,colombo,sri lanka,6.9271,79.8612
2020-01-27,-0.5374782551079988,colombo,sri lanka,6.9271,79.8612
2020-01-28,-0.7404650797446569,colombo,sri lanka,6.9271,79.8612
2020-01-29,-1.3470121398568153,colombo,sri lanka,6.9271,79.8612
2020-01-30,-1.4587924480438232,colombo,sri lanka,6.9271,79.8612
2020-01-31,-2.389076461394628,colombo,sri lanka,6.9271,79.8612
2020-02-01,-2.899527112642924,colombo,sri lanka,6.9271,79.8612
2020-02-02,-2.114940032362938,colombo,sri lanka,6.9271,79.8612
2020-02-03,-2.4584810162583985,colombo,sri lanka,6.9271,79.8612
