date,U10M,region_name,country,latitude,longitude
2020-01-01,-3.5994052986303964,hyderabad,india,17.385,78.4867
2020-01-02,-2.3912243296702704,hyderabad,india,17.385,78.4867
2020-01-03,-0.8719377517700195,hyderabad,india,17.385,78.4867
2020-01-04,-1.68328641106685,hyderabad,india,17.385,78.4867
2020-01-05,-2.247711439927419,hyderabad,india,17.385,78.4867
2020-01-06,-2.903360595305761,hyderabad,india,17.385,78.4867
2020-01-07,-2.082253490885099,hyderabad,india,17.385,78.4867
2020-01-08,-1.2945295323928196,hyderabad,india,17.385,78.4867
2020-01-09,-0.46127459903558093,hyderabad,india,17.385,78.4867
2020-01-10,-2.2013143648703895,hyderabad,india,17.385,78.4867
2020-01-11,-1.8288000350197156,hyderabad,india,17.385,78.4867
2020-01-12,-1.5458286988238494,hyderabad,india,17.385,78.4867
2020-01-13,-1.1866088385383289,hyderabad,india,17.385,78.4867
2020-01-14,-1.9832455391685169,hyderabad,india,17.385,78.4867
2020-01-15,-2.41854814440012,hyderabad,india,17.385,78.4867
2020-01-16,-1.9076370224356651,hyderabad,india,17.385,78.4867
2020-01-17,-1.7855651477972667,hyderabad,india,17.385,78.4867
2020-01-18,-2.2110458463430405,hyderabad,india,17.385,78.4867
2020-01-19,-1.567220934977134,hyderabad,india,17.385,78.4867
2020-01-20,-2.121662591894468,hyderabad,india,17.385,78.4867
2020-01-21,-2.628619059920311,hyderabad,india,17.385,78.4867
2020-01-22,-2.7676738736530146,hyderabad,india,17.385,78.4867
2020-01-23,-2.3842450492084026,hyderabad,india,17.385,78.4867
2020-01-24,-2.3517848203579583,hyderabad,india,17.385,78.4867
2020-01-25,-2.1608161069452763,hyderabad,india,17.385,78.4867
2020-01-26,-1.5785568244755268,hyderabad,india,17.385,78.4867
2020-01-27,-1.825527310371399,hyderabad,india,17.385,78.4867
2020-01-28,1.7455349788069725,hyderabad,india,17.385,78.4867
2020-01-29,1.1747138301531475,hyderabad,india,17.385,78.4867
2020-01-30,-1.1883761882781982,hyderabad,india,17.385,78.4867
2020-01-31,-2.7300391793251038,hyderabad,india,17.385,78.4867
2020-02-01,-2.396590441465378,hyderabad,india,17.385,78.4867
2020-02-02,-2.271986037492752,hyderabad,india,17.385,78.4867
2020-02-03,-2.7486218015352883,hyderabad,india,17.385,78.4867
2020-02-04,-1.9565041810274124,hyderabad,india,17.385,78.4867
2020-02-05,-0.9562037785847982,hyderabad,india,17.385,78.4867
2020-02-06,-0.8395680288473765,hyderabad,india,17.385,78.4867
2020-02-07,-0.2579161797960599,hyderabad,india,17.385,78.4867
2020-02-08,-1.7095928775767486,hyderabad,india,17.385,78.4867
2020-02-09,-3.6767706175645194,hyderabad,india,17.385,78.4867
2020-02-10,-3.83586049079895,hyderabad,india,17.385,78.4867
2020-02-11,-3.695482537150383,hyderabad,india,17.385,78.4867
2020-02-12,-2.6641178677479425,hyderabad,india,17.385,78.4867
2020-02-13,-1.9092307835817337,hyderabad,india,17.385,78.4867
2020-02-14,-1.3993396610021591,hyderabad,india,17.385,78.4867
2020-02-15,-2.037521359821161,hyderabad,india,17.385,78.4867
2020-02-16,-2.7662798215945563,hyderabad,india,17.385,78.4867
2020-02-17,-2.2147602091232934,hyderabad,india,17.385,78.4867
2020-02-18,-2.711345205704371,hyderabad,india,17.385,78.4867
2020-02-19,-2.3604971716801324,hyderabad,india,17.385,78.4867
2020-02-20,-2.657686327894529,hyderabad,india,17.385,78.4867
2020-02-21,-3.0639744649330773,hyderabad,india,17.385,78.4867
2020-02-22,-3.0172875076532364,hyderabad,india,17.385,78.4867
2020-02-23,-2.437205975254377,hyderabad,india,17.385,78.4867
2020-02-24,-0.7529728452985486,hyderabad,india,17.385,78.4867
2020-02-25,0.10296428948640823,hyderabad,india,17.385,78.4867
2020-02-26,-1.9917423600951831,hyderabad,india,17.385,78.4867
2020-02-27,-2.8451581796010337,hyderabad,india,17.385,78.4867
2020-02-28,-2.7594722459713616,hyderabad,india,17.385,78.4867
2020-02-29,-2.1140907232960067,hyderabad,india,17.385,78.4867
2020-03-01,-2.125471336146196,hyderabad,india,17.385,78.4867
2020-03-02,-0.17828457926710448,hyderabad,india,17.385,78.4867
2020-03-03,1.6244507779677708,hyderabad,india,17.385,78.4867
2020-03-04,0.9614004989465078,hyderabad,india,17.385,78.4867
2020-03-05,-0.4941803241769473,hyderabad,india,17.385,78.4867
2020-03-06,1.2636707797646523,hyderabad,india,17.385,78.4867
2020-03-07,-0.4113275098303954,hyderabad,india,17.385,78.4867
2020-03-08,-1.7919992158810298,hyderabad,india,17.385,78.4867
2020-03-09,-1.887802133957545,hyderabad,india,17.385,78.4867
2020-03-10,-1.1127982487281163,hyderabad,india,17.385,78.4867
2020-03-11,0.05689194922645887,hyderabad,india,17.385,78.4867
2020-03-12,-1.1653946787118912,hyderabad,india,17.385,78.4867
2020-03-13,-1.6469629456599553,hyderabad,india,17.385,78.4867
2020-03-14,-0.6577238614360491,hyderabad,india,17.385,78.4867
2020-03-15,-2.5429689437150955,hyderabad,india,17.385,78.4867
2020-03-16,-2.011270751555761,hyderabad,india,17.385,78.4867
2020-03-17,-2.2597811420758567,hyderabad,india,17.385,78.4867
2020-03-18,-0.7233727698524793,hyderabad,india,17.385,78.4867
2020-03-19,0.22899498045444489,hyderabad,india,17.385,78.4867
2020-03-20,-0.8983782933404049,hyderabad,india,17.385,78.4867
2020-03-21,1.0116445596019428,hyderabad,india,17.385,78.4867
2020-03-22,-0.8050419663389524,hyderabad,india,17.385,78.4867
2020-03-23,-2.105113665262858,hyderabad,india,17.385,78.4867
2020-03-24,-2.1844313542048135,hyderabad,india,17.385,78.4867
2020-03-25,-2.335640729715427,hyderabad,india,17.385,78.4867
2020-03-26,-2.0109256779154143,hyderabad,india,17.385,78.4867
2020-03-27,-0.9834323463340601,hyderabad,india,17.385,78.4867
2020-03-28,-1.5140546044955652,hyderabad,india,17.385,78.4867
2020-03-29,-1.1419042373696964,hyderabad,india,17.385,78.4867
2020-03-30,-2.244089717666308,hyderabad,india,17.385,78.4867
2020-03-31,-1.5015353585282962,hyderabad,india,17.385,78.4867
2020-04-01,-1.1200791485607624,hyderabad,india,17.385,78.4867
2020-04-02,-1.7782360191146533,hyderabad,india,17.385,78.4867
2020-04-03,-1.0951349157840014,hyderabad,india,17.385,78.4867
2020-04-04,-0.06975007429718971,hyderabad,india,17.385,78.4867
2020-04-05,-1.8112013737360637,hyderabad,india,17.385,78.4867
2020-04-06,-0.1387326419353485,hyderabad,india,17.385,78.4867
2020-04-07,1.3312890976667404,hyderabad,india,17.385,78.4867
2020-04-08,1.1607187887032826,hyderabad,india,17.385,78.4867
2020-04-09,-1.0531666725873947,hyderabad,india,17.385,78.4867
2020-04-10,-1.3757537802060444,hyderabad,india,17.385,78.4867
2020-04-11,-2.115672995646795,hyderabad,india,17.385,78.4867
2020-04-12,-2.3229648352911076,hyderabad,india,17.385,78.4867
2020-04-13,-2.1768597507228455,hyderabad,india,17.385,78.4867
2020-04-14,-2.002194161216418,hyderabad,india,17.385,78.4867
2020-04-15,-1.07016625503699,hyderabad,india,17.385,78.4867
2020-04-16,-0.7897483470539252,hyderabad,india,17.385,78.4867
2020-04-17,-0.6339819322650632,hyderabad,india,17.385,78.4867
2020-04-18,-1.1166265606880188,hyderabad,india,17.385,78.4867
2020-04-19,-1.6707666690150897,hyderabad,india,17.385,78.4867
2020-04-20,-1.3772385641932487,hyderabad,india,17.385,78.4867
2020-04-21,0.014295564964413643,hyderabad,india,17.385,78.4867
2020-04-22,0.2654457241296768,hyderabad,india,17.385,78.4867
2020-04-23,-0.884684375487268,hyderabad,india,17.385,78.4867
2020-04-24,-1.1884876067439716,hyderabad,india,17.385,78.4867
2020-04-25,-2.009897068142891,hyderabad,india,17.385,78.4867
2020-04-26,-2.0862140357494354,hyderabad,india,17.385,78.4867
2020-04-27,-3.579449236392975,hyderabad,india,17.385,78.4867
2020-04-28,-3.0910638868808746,hyderabad,india,17.385,78.4867
2020-04-29,-1.5762338911493619,hyderabad,india,17.385,78.4867
2020-04-30,-1.1986510728796322,hyderabad,india,17.385,78.4867
2020-05-01,-0.09403148557369907,hyderabad,india,17.385,78.4867
2020-05-02,-0.4497212839002411,hyderabad,india,17.385,78.4867
2020-05-03,-0.5959393456578255,hyderabad,india,17.385,78.4867
2020-05-04,-0.18508610036224127,hyderabad,india,17.385,78.4867
2020-05-05,0.560795875887076,hyderabad,india,17.385,78.4867
2020-05-06,-1.342327430844307,hyderabad,india,17.385,78.4867
2020-05-07,-1.3677940756703417,hyderabad,india,17.385,78.4867
2020-05-08,0.2602326087653637,hyderabad,india,17.385,78.4867
2020-05-09,-1.1917480304837227,hyderabad,india,17.385,78.4867
2020-05-10,0.36051855236291885,hyderabad,india,17.385,78.4867
2020-05-11,-2.510600298643112,hyderabad,india,17.385,78.4867
2020-05-12,-1.9362886995077133,hyderabad,india,17.385,78.4867
2020-05-13,-1.940740744272868,hyderabad,india,17.385,78.4867
2020-05-14,-2.584010953704516,hyderabad,india,17.385,78.4867
2020-05-15,-1.9475291545192401,hyderabad,india,17.385,78.4867
2020-05-16,-1.4251687477032344,hyderabad,india,17.385,78.4867
2020-05-17,-1.0701631034413974,hyderabad,india,17.385,78.4867
2020-05-18,-0.5212855152785778,hyderabad,india,17.385,78.4867
2020-05-19,0.26789676149686176,hyderabad,india,17.385,78.4867
2020-05-20,1.7444928114612896,hyderabad,india,17.385,78.4867
2020-05-21,0.4703193282087644,hyderabad,india,17.385,78.4867
2020-05-22,-0.7581898458302021,hyderabad,india,17.385,78.4867
2020-05-23,-2.148709774017334,hyderabad,india,17.385,78.4867
2020-05-24,-0.2705401877562205,hyderabad,india,17.385,78.4867
2020-05-25,-0.3935761625568072,hyderabad,india,17.385,78.4867
2020-05-26,0.22364103297392526,hyderabad,india,17.385,78.4867
2020-05-27,1.3667557847996552,hyderabad,india,17.385,78.4867
2020-05-28,1.0744978934526443,hyderabad,india,17.385,78.4867
2020-05-29,0.21391801411906877,hyderabad,india,17.385,78.4867
