date,U10M,region_name,country,latitude,longitude
2020-01-01,-2.491881713271141,kandy,sri lanka,7.2906,80.6337
2020-01-02,-3.265614002943039,kandy,sri lanka,7.2906,80.6337
2020-01-03,-2.775850643714269,kandy,sri lanka,7.2906,80.6337
2020-01-04,-2.8520486255486808,kandy,sri lanka,7.2906,80.6337
2020-01-05,-3.596425632635752,kandy,sri lanka,7.2906,80.6337
2020-01-06,-3.660684823989868,kandy,sri lanka,7.2906,80.6337
2020-01-07,-3.827940354744593,kandy,sri lanka,7.2906,80.6337
2020-01-08,-3.104822099208832,kandy,sri lanka,7.2906,80.6337
2020-01-09,-2.5348988821109137,kandy,sri lanka,7.2906,80.6337
2020-01-10,-2.745390330751737,kandy,sri lanka,7.2906,80.6337
2020-01-11,-2.3805489391088486,kandy,sri lanka,7.2906,80.6337
2020-01-12,-2.8847060749928155,kandy,sri lanka,7.2906,80.6337
2020-01-13,-1.8065480142831802,kandy,sri lanka,7.2906,80.6337
2020-01-14,-1.6663103103637695,kandy,sri lanka,7.2906,80.6337
2020-01-15,-2.0182388921578727,kandy,sri lanka,7.2906,80.6337
2020-01-16,-2.631310527523359,kandy,sri lanka,7.2906,80.6337
2020-01-17,-2.7707946052153907,kandy,sri lanka,7.2906,80.6337
2020-01-18,-3.1533285081386566,kandy,sri lanka,7.2906,80.6337
2020-01-19,-3.706819772720337,kandy,sri lanka,7.2906,80.6337
2020-01-20,-3.1853425999482474,kandy,sri lanka,7.2906,80.6337
2020-01-21,-3.5259579171737037,kandy,sri lanka,7.2906,80.6337
2020-01-22,-4.283481985330582,kandy,sri lanka,7.2906,80.6337
2020-01-23,-4.037692507108052,kandy,sri lanka,7.2906,80.6337
2020-01-24,-3.6723719785610833,kandy,sri lanka,7.2906,80.6337
2020-01-25,-2.6868984748919806,kandy,sri lanka,7.2906,80.6337
2020-01-26,-2.822753389676412,kandy,sri lanka,7.2906,80.6337
2020-01-27,-2.511267453432083,kandy,sri lanka,7.2906,80.6337
2020-01-28,-2.9818692803382874,kandy,sri lanka,7.2906,80.6337
2020-01-29,-3.3051878213882446,kandy,sri lanka,7.2906,80.6337
2020-01-30,-2.8796501755714417,kandy,sri lanka,7.2906,80.6337
2020-01-31,-3.495623469352722,kandy,sri lanka,7.2906,80.6337
2020-02-01,-3.2611095309257507,kandy,sri lanka,7.2906,80.6337
2020-02-02,-2.9134858747323356,kandy,sri lanka,7.2906,80.6337
2020-02-03,-2.7598522752523422,kandy,sri lanka,7.2906,80.6337
2020-02-04,-3.3060322205225625,kandy,sri lanka,7.2906,80.6337
2020-02-05,-2.698133776585261,kandy,sri lanka,7.2906,80.6337
2020-02-06,-2.557366897662481,kandy,sri lanka,7.2906,80.6337
2020-02-07,-2.8748684525489807,kandy,sri lanka,7.2906,80.6337
2020-02-08,-2.5998262465000153,kandy,sri lanka,7.2906,80.6337
2020-02-09,-3.3578008810679116,kandy,sri lanka,7.2906,80.6337
2020-02-10,-3.7336062689622245,kandy,sri lanka,7.2906,80.6337
2020-02-11,-4.203569680452347,kandy,sri lanka,7.2906,80.6337
2020-02-12,-4.230875084797542,kandy,sri lanka,7.2906,80.6337
2020-02-13,-3.549631988008817,kandy,sri lanka,7.2906,80.6337
2020-02-14,-2.6179097394148507,kandy,sri lanka,7.2906,80.6337
2020-02-15,-2.3992360532283783,kandy,sri lanka,7.2906,80.6337
2020-02-16,-3.3715044359366098,kandy,sri lanka,7.2906,80.6337
2020-02-17,-3.4277118841807046,kandy,sri lanka,7.2906,80.6337
2020-02-18,-3.5427660942077637,kandy,sri lanka,7.2906,80.6337
2020-02-19,-3.340742141008377,kandy,sri lanka,7.2906,80.6337
2020-02-20,-3.744213809569677,kandy,sri lanka,7.2906,80.6337
2020-02-21,-4.707569827636083,kandy,sri lanka,7.2906,80.6337
2020-02-22,-5.146641353766124,kandy,sri lanka,7.2906,80.6337
2020-02-23,-4.578146298726399,kandy,sri lanka,7.2906,80.6337
2020-02-24,-3.843594362338384,kandy,sri lanka,7.2906,80.6337
2020-02-25,-3.4566136399904885,kandy,sri lanka,7.2906,80.6337
2020-02-26,-3.5134392182032266,kandy,sri lanka,7.2906,80.6337
2020-02-27,-3.5906822681427,kandy,sri lanka,7.2906,80.6337
2020-02-28,-4.007274955511093,kandy,sri lanka,7.2906,80.6337
2020-02-29,-3.194901257753372,kandy,sri lanka,7.2906,80.6337
2020-03-01,-2.9833408097426095,kandy,sri lanka,7.2906,80.6337
2020-03-02,-1.650732308626175,kandy,sri lanka,7.2906,80.6337
