date,QV2M,region_name,country,latitude,longitude
2020-01-01,11.783445215163132,chittagong,bangladesh,22.3569,91.7832
2020-01-02,12.897780553127328,chittagong,bangladesh,22.3569,91.7832
2020-01-03,12.379266787320375,chittagong,bangladesh,22.3569,91.7832
2020-01-04,11.096914337637523,chittagong,bangladesh,22.3569,91.7832
2020-01-05,11.504663503728807,chittagong,bangladesh,22.3569,91.7832
2020-01-06,9.48241310349355,chittagong,bangladesh,22.3569,91.7832
2020-01-07,9.242907787362734,chittagong,bangladesh,22.3569,91.7832
2020-01-08,10.309232321257392,chittagong,bangladesh,22.3569,91.7832
2020-01-09,10.741917338843146,chittagong,bangladesh,22.3569,91.7832
2020-01-10,10.69055482124289,chittagong,bangladesh,22.3569,91.7832
2020-01-11,9.576384404984614,chittagong,bangladesh,22.3569,91.7832
2020-01-12,9.779205429367721,chittagong,bangladesh,22.3569,91.7832
2020-01-13,9.907673501099149,chittagong,bangladesh,22.3569,91.7832
2020-01-14,9.93350586698701,chittagong,bangladesh,22.3569,91.7832
2020-01-15,10.55120734963566,chittagong,bangladesh,22.3569,91.7832
2020-01-16,10.716287225174407,chittagong,bangladesh,22.3569,91.7832
2020-01-17,9.889783046673983,chittagong,bangladesh,22.3569,91.7832
2020-01-18,10.088615332885334,chittagong,bangladesh,22.3569,91.7832
2020-01-19,11.225615977309644,chittagong,bangladesh,22.3569,91.7832
2020-01-20,11.400317734417817,chittagong,bangladesh,22.3569,91.7832
2020-01-21,9.058636225139102,chittagong,bangladesh,22.3569,91.7832
2020-01-22,8.522326437135538,chittagong,bangladesh,22.3569,91.7832
2020-01-23,9.531610276705274,chittagong,bangladesh,22.3569,91.7832
2020-01-24,8.50364106008783,chittagong,bangladesh,22.3569,91.7832
2020-01-25,8.444274251814932,chittagong,bangladesh,22.3569,91.7832
2020-01-26,8.236960197488466,chittagong,bangladesh,22.3569,91.7832
2020-01-27,8.390975126530975,chittagong,bangladesh,22.3569,91.7832
2020-01-28,8.777431678026915,chittagong,bangladesh,22.3569,91.7832
2020-01-29,9.375782877517244,chittagong,bangladesh,22.3569,91.7832
2020-01-30,11.454732118484875,chittagong,bangladesh,22.3569,91.7832
2020-01-31,11.165151799408099,chittagong,bangladesh,22.3569,91.7832
2020-02-01,9.93392604868859,chittagong,bangladesh,22.3569,91.7832
2020-02-02,8.782511538205048,chittagong,bangladesh,22.3569,91.7832
2020-02-03,7.5917817691030605,chittagong,bangladesh,22.3569,91.7832
2020-02-04,8.196200826205313,chittagong,bangladesh,22.3569,91.7832
2020-02-05,9.018917917273939,chittagong,bangladesh,22.3569,91.7832
2020-02-06,8.943414199166,chittagong,bangladesh,22.3569,91.7832
2020-02-07,9.410125358651081,chittagong,bangladesh,22.3569,91.7832
2020-02-08,9.673833458994826,chittagong,bangladesh,22.3569,91.7832
2020-02-09,10.40692957273374,chittagong,bangladesh,22.3569,91.7832
2020-02-10,8.575903756233552,chittagong,bangladesh,22.3569,91.7832
2020-02-11,8.905928620758155,chittagong,bangladesh,22.3569,91.7832
2020-02-12,8.457586130437752,chittagong,bangladesh,22.3569,91.7832
2020-02-13,8.090464359459778,chittagong,bangladesh,22.3569,91.7832
2020-02-14,9.935841895639896,chittagong,bangladesh,22.3569,91.7832
2020-02-15,11.278453515842557,chittagong,bangladesh,22.3569,91.7832
2020-02-16,10.78162679914385,chittagong,bangladesh,22.3569,91.7832
2020-02-17,10.715378099121153,chittagong,bangladesh,22.3569,91.7832
2020-02-18,10.746766502658526,chittagong,bangladesh,22.3569,91.7832
2020-02-19,10.16516894257317,chittagong,bangladesh,22.3569,91.7832
2020-02-20,9.95274051092565,chittagong,bangladesh,22.3569,91.7832
2020-02-21,9.64381747568647,chittagong,bangladesh,22.3569,91.7832
2020-02-22,9.863397533384463,chittagong,bangladesh,22.3569,91.7832
2020-02-23,10.00433904118836,chittagong,bangladesh,22.3569,91.7832
2020-02-24,11.798370823574563,chittagong,bangladesh,22.3569,91.7832
2020-02-25,12.917609419673681,chittagong,bangladesh,22.3569,91.7832
2020-02-26,11.460353542740146,chittagong,bangladesh,22.3569,91.7832
2020-02-27,11.119210704540214,chittagong,bangladesh,22.3569,91.7832
2020-02-28,10.347018445221087,chittagong,bangladesh,22.3569,91.7832
2020-02-29,10.941826350366076,chittagong,bangladesh,22.3569,91.7832
2020-03-01,11.587113374844193,chittagong,bangladesh,22.3569,91.7832
2020-03-02,13.214698255372545,chittagong,bangladesh,22.3569,91.7832
2020-03-03,12.766398334254822,chittagong,bangladesh,22.3569,91.7832
2020-03-04,12.29967293329537,chittagong,bangladesh,22.3569,91.7832
2020-03-05,13.131488657866916,chittagong,bangladesh,22.3569,91.7832
2020-03-06,12.13775819633156,chittagong,bangladesh,22.3569,91.7832
2020-03-07,12.70778321971496,chittagong,bangladesh,22.3569,91.7832
2020-03-08,13.09017623619487,chittagong,bangladesh,22.3569,91.7832
2020-03-09,11.547836281048754,chittagong,bangladesh,22.3569,91.7832
2020-03-10,9.941302123479545,chittagong,bangladesh,22.3569,91.7832
2020-03-11,11.233478280094763,chittagong,bangladesh,22.3569,91.7832
2020-03-12,13.17454366168628,chittagong,bangladesh,22.3569,91.7832
