date,QV2M,region_name,country,latitude,longitude
2020-01-01,17.824971893181402,colombo,sri lanka,6.9271,79.8612
2020-01-02,18.45531794242561,colombo,sri lanka,6.9271,79.8612
2020-01-03,18.32717463063697,colombo,sri lanka,6.9271,79.8612
2020-01-04,18.470247353737552,colombo,sri lanka,6.9271,79.8612
2020-01-05,17.489128978922963,colombo,sri lanka,6.9271,79.8612
2020-01-06,17.86552811972797,colombo,sri lanka,6.9271,79.8612
2020-01-07,17.84536785756548,colombo,sri lanka,6.9271,79.8612
2020-01-08,16.813132213428617,colombo,sri lanka,6.9271,79.8612
2020-01-09,16.17007264091323,colombo,sri lanka,6.9271,79.8612
2020-01-10,15.529657287212709,colombo,sri lanka,6.9271,79.8612
2020-01-11,17.463906784541905,colombo,sri lanka,6.9271,79.8612
2020-01-12,17.005195763582986,colombo,sri lanka,6.9271,79.8612
2020-01-13,14.973750376763443,colombo,sri lanka,6.9271,79.8612
2020-01-14,14.35203788181146,colombo,sri lanka,6.9271,79.8612
2020-01-15,14.536930248141289,colombo,sri lanka,6.9271,79.8612
2020-01-16,16.80804098335405,colombo,sri lanka,6.9271,79.8612
2020-01-17,17.784935034190614,colombo,sri lanka,6.9271,79.8612
2020-01-18,17.534030058110755,colombo,sri lanka,6.9271,79.8612
2020-01-19,18.230194846789043,colombo,sri lanka,6.9271,79.8612
2020-01-20,18.09765468351543,colombo,sri lanka,6.9271,79.8612
2020-01-21,18.161457652846973,colombo,sri lanka,6.9271,79.8612
2020-01-22,19.02132690884173,colombo,sri lanka,6.9271,79.8612
2020-01-23,18.551303073763847,colombo,sri lanka,6.9271,79.8612
2020-01-24,17.788057991613943,colombo,sri lanka,6.9271,79.8612
2020-01-25,16.983632968428235,colombo,sri lanka,6.9271,79.8612
2020-01-26,16.21158483127753,colombo,sri lanka,6.9271,79.8612
2020-01-27,16.01687310418735,colombo,sri lanka,6.9271,79.8612
2020-01-28,15.680921108772358,colombo,sri lanka,6.9271,79.8612
2020-01-29,15.319399031189581,colombo,sri lanka,6.9271,79.8612
2020-01-30,15.715431111554304,colombo,sri lanka,6.9271,79.8612
2020-01-31,15.377849224023521,colombo,sri lanka,6.9271,79.8612
2020-02-01,14.952160379228493,colombo,sri lanka,6.9271,79.8612
2020-02-02,15.540962961191932,colombo,sri lanka,6.9271,79.8612
2020-02-03,16.309795474323135,colombo,sri lanka,6.9271,79.8612
2020-02-04,17.110274095709126,colombo,sri lanka,6.9271,79.8612
2020-02-05,17.220994069551427,colombo,sri lanka,6.9271,79.8612
2020-02-06,16.89340251808365,colombo,sri lanka,6.9271,79.8612
2020-02-07,16.48877273934583,colombo,sri lanka,6.9271,79.8612
2020-02-08,16.406138233530026,colombo,sri lanka,6.9271,79.8612
2020-02-09,15.54437323162953,colombo,sri lanka,6.9271,79.8612
2020-02-10,15.6466835954537,colombo,sri lanka,6.9271,79.8612
2020-02-11,16.831439066057403,colombo,sri lanka,6.9271,79.8612
2020-02-12,18.224482734998066,colombo,sri lanka,6.9271,79.8612
2020-02-13,17.689673307662208,colombo,sri lanka,6.9271,79.8612
2020-02-14,17.747229275604088,colombo,sri lanka,6.9271,79.8612
2020-02-15,17.778856757407386,colombo,sri lanka,6.9271,79.8612
2020-02-16,17.304441425949335,colombo,sri lanka,6.9271,79.8612
2020-02-17,15.84233126292626,colombo,sri lanka,6.9271,79.8612
2020-02-18,14.363735254543522,colombo,sri lanka,6.9271,79.8612
2020-02-19,15.056723457140228,colombo,sri lanka,6.9271,79.8612
2020-02-20,17.146305918383103,colombo,sri lanka,6.9271,79.8612
2020-02-21,18.986805730188888,colombo,sri lanka,6.9271,79.8612
2020-02-22,18.12142242367069,colombo,sri lanka,6.9271,79.8612
2020-02-23,17.61434196184079,colombo,sri lanka,6.9271,79.8612
2020-02-24,17.614671572421987,colombo,sri lanka,6.9271,79.8612
2020-02-25,18.03439009624223,colombo,sri lanka,6.9271,79.8612
2020-02-26,17.009625444188714,colombo,sri lanka,6.9271,79.8612
2020-02-27,16.366644529625773,colombo,sri lanka,6.9271,79.8612
2020-02-28,15.989432615848878,colombo,sri lanka,6.9271,79.8612
2020-02-29,15.86723638077577,colombo,sri lanka,6.9271,79.8612
2020-03-01,16.75571020071705,colombo,sri lanka,6.9271,79.8612
2020-03-02,16.51631877757609,colombo,sri lanka,6.9271,79.8612
2020-03-03,16.232051032905776,colombo,sri lanka,6.9271,79.8612
2020-03-04,16.97903499007225,colombo,sri lanka,6.9271,79.8612
2020-03-05,18.07104462447266,colombo,sri lanka,6.9271,79.8612
2020-03-06,18.688388091201585,colombo,sri lanka,6.9271,79.8612
2020-03-07,17.71282497793436,colombo,sri lanka,6.9271,79.8612
2020-03-08,17.12533140865465,colombo,sri lanka,6.9271,79.8612
2020-03-09,17.772150691598654,colombo,sri lanka,6.9271,79.8612
2020-03-10,16.888501588255167,colombo,sri lanka,6.9271,79.8612
2020-03-11,16.678958510359127,colombo,sri lanka,6.9271,79.8612
2020-03-12,16.905794385820627,colombo,sri lanka,6.9271,79.8612
2020-03-13,16.687859315425158,colombo,sri lanka,6.9271,79.8612
2020-03-14,17.611252920081217,colombo,sri lanka,6.9271,79.8612
2020-03-15,17.915801300356787,colombo,sri lanka,6.9271,79.8612
2020-03-16,17.87739945575595,colombo,sri lanka,6.9271,79.8612
2020-03-17,17.938108338663977,colombo,sri lanka,6.9271,79.8612
2020-03-18,17.888565159713227,colombo,sri lanka,6.9271,79.8612
2020-03-19,17.649898771196604,colombo,sri lanka,6.9271,79.8612
2020-03-20,17.816766009976465,colombo,sri lanka,6.9271,79.8612
2020-03-21,17.113186651840806,colombo,sri lanka,6.9271,79.8612
2020-03-22,17.235330926875275,colombo,sri lanka,6.9271,79.8612
2020-03-23,16.819993887717526,colombo,sri lanka,6.9271,79.8612
2020-03-24,16.727575605424743,colombo,sri lanka,6.9271,79.8612
2020-03-25,17.21443336767455,colombo,sri lanka,6.9271,79.8612
2020-03-26,14.636098484819135,colombo,sri lanka,6.9271,79.8612
2020-03-27,14.874604375412067,colombo,sri lanka,6.9271,79.8612
2020-03-28,16.500772791914642,colombo,sri lanka,6.9271,79.8612
2020-03-29,18.165394896641374,colombo,sri lanka,6.9271,79.8612
2020-03-30,17.90180297878881,colombo,sri lanka,6.9271,79.8612
2020-03-31,16.420068840185802,colombo,sri lanka,6.9271,79.8612
2020-04-01,16.415587238346536,colombo,sri lanka,6.9271,79.8612
2020-04-02,16.29052373270194,colombo,sri lanka,6.9271,79.8612
2020-04-03,16.56334470802297,colombo,sri lanka,6.9271,79.8612
2020-04-04,18.008152022957802,colombo,sri lanka,6.9271,79.8612
2020-04-05,18.34107524094482,colombo,sri lanka,6.9271,79.8612
