date,PS,region_name,country,latitude,longitude
2020-01-01,1015.0840592447917,chittagong,bangladesh,22.3569,91.7832
2020-01-02,1014.7064322916667,chittagong,bangladesh,22.3569,91.7832
2020-01-03,1012.651943359375,chittagong,bangladesh,22.3569,91.7832
2020-01-04,1010.9507747395833,chittagong,bangladesh,22.3569,91.7832
2020-01-05,1011.3337337239583,chittagong,bangladesh,22.3569,91.7832
2020-01-06,1013.2604296875,chittagong,bangladesh,22.3569,91.7832
2020-01-07,1011.467412109375,chittagong,bangladesh,22.3569,91.7832
2020-01-08,1010.8068554687501,chittagong,bangladesh,22.3569,91.7832
2020-01-09,1011.1784993489583,chittagong,bangladesh,22.3569,91.7832
2020-01-10,1011.659599609375,chittagong,bangladesh,22.3569,91.7832
2020-01-11,1011.593125,chittagong,bangladesh,22.3569,91.7832
2020-01-12,1009.2290625,chittagong,bangladesh,22.3569,91.7832
2020-01-13,1008.7270149739584,chittagong,bangladesh,22.3569,91.7832
2020-01-14,1009.7586555989583,chittagong,bangladesh,22.3569,91.7832
2020-01-15,1010.5344726562499,chittagong,bangladesh,22.3569,91.7832
2020-01-16,1010.43650390625,chittagong,bangladesh,22.3569,91.7832
2020-01-17,1011.0229654947916,chittagong,bangladesh,22.3569,91.7832
2020-01-18,1010.592685546875,chittagong,bangladesh,22.3569,91.7832
2020-01-19,1010.2148274739584,chittagong,bangladesh,22.3569,91.7832
2020-01-20,1012.4762174479166,chittagong,bangladesh,22.3569,91.7832
2020-01-21,1013.6393619791667,chittagong,bangladesh,22.3569,91.7832
2020-01-22,1012.98287109375,chittagong,bangladesh,22.3569,91.7832
2020-01-23,1011.7849674479166,chittagong,bangladesh,22.3569,91.7832
2020-01-24,1011.928154296875,chittagong,bangladesh,22.3569,91.7832
2020-01-25,1010.4587662760417,chittagong,bangladesh,22.3569,91.7832
2020-01-26,1009.690634765625,chittagong,bangladesh,22.3569,91.7832
2020-01-27,1009.6809765625,chittagong,bangladesh,22.3569,91.7832
2020-01-28,1010.9804720052084,chittagong,bangladesh,22.3569,91.7832
2020-01-29,1011.76361328125,chittagong,bangladesh,22.3569,91.7832
2020-01-30,1009.471376953125,chittagong,bangladesh,22.3569,91.7832
2020-01-31,1010.4594856770833,chittagong,bangladesh,22.3569,91.7832
2020-02-01,1012.3589095052083,chittagong,bangladesh,22.3569,91.7832
2020-02-02,1014.2556315104166,chittagong,bangladesh,22.3569,91.7832
2020-02-03,1013.0730013020833,chittagong,bangladesh,22.3569,91.7832
2020-02-04,1011.0761816406251,chittagong,bangladesh,22.3569,91.7832
2020-02-05,1010.6562109375,chittagong,bangladesh,22.3569,91.7832
2020-02-06,1012.1263932291666,chittagong,bangladesh,22.3569,91.7832
2020-02-07,1013.279208984375,chittagong,bangladesh,22.3569,91.7832
2020-02-08,1013.4972233072917,chittagong,bangladesh,22.3569,91.7832
2020-02-09,1013.2249348958334,chittagong,bangladesh,22.3569,91.7832
2020-02-10,1012.9579752604167,chittagong,bangladesh,22.3569,91.7832
2020-02-11,1013.2319856770833,chittagong,bangladesh,22.3569,91.7832
2020-02-12,1012.139521484375,chittagong,bangladesh,22.3569,91.7832
2020-02-13,1009.2316861979166,chittagong,bangladesh,22.3569,91.7832
2020-02-14,1007.445087890625,chittagong,bangladesh,22.3569,91.7832
2020-02-15,1009.5159895833334,chittagong,bangladesh,22.3569,91.7832
2020-02-16,1011.0397623697917,chittagong,bangladesh,22.3569,91.7832
2020-02-17,1011.0687955729167,chittagong,bangladesh,22.3569,91.7832
2020-02-18,1010.7427246093749,chittagong,bangladesh,22.3569,91.7832
2020-02-19,1011.8190657552083,chittagong,bangladesh,22.3569,91.7832
2020-02-20,1012.2638053385417,chittagong,bangladesh,22.3569,91.7832
2020-02-21,1013.9385221354167,chittagong,bangladesh,22.3569,91.7832
2020-02-22,1013.4768522135417,chittagong,bangladesh,22.3569,91.7832
2020-02-23,1011.7828938802082,chittagong,bangladesh,22.3569,91.7832
2020-02-24,1009.826923828125,chittagong,bangladesh,22.3569,91.7832
2020-02-25,1009.3335677083332,chittagong,bangladesh,22.3569,91.7832
2020-02-26,1010.6241438802084,chittagong,bangladesh,22.3569,91.7832
2020-02-27,1009.7645963541667,chittagong,bangladesh,22.3569,91.7832
2020-02-28,1008.9107389322917,chittagong,bangladesh,22.3569,91.7832
2020-02-29,1008.2153222656251,chittagong,bangladesh,22.3569,91.7832
2020-03-01,1007.9541666666668,chittagong,bangladesh,22.3569,91.7832
2020-03-02,1007.5603157552083,chittagong,bangladesh,22.3569,91.7832
2020-03-03,1007.3829231770833,chittagong,bangladesh,22.3569,91.7832
2020-03-04,1007.7999707031249,chittagong,bangladesh,22.3569,91.7832
2020-03-05,1007.6895670572917,chittagong,bangladesh,22.3569,91.7832
2020-03-06,1009.5123600260417,chittagong,bangladesh,22.3569,91.7832
2020-03-07,1009.4594791666667,chittagong,bangladesh,22.3569,91.7832
2020-03-08,1008.1611197916667,chittagong,bangladesh,22.3569,91.7832
2020-03-09,1007.3603125,chittagong,bangladesh,22.3569,91.7832
2020-03-10,1007.5588313802083,chittagong,bangladesh,22.3569,91.7832
2020-03-11,1007.803115234375,chittagong,bangladesh,22.3569,91.7832
2020-03-12,1008.9701009114583,chittagong,bangladesh,22.3569,91.7832
2020-03-13,1008.74125,chittagong,bangladesh,22.3569,91.7832
2020-03-14,1007.3226595052083,chittagong,bangladesh,22.3569,91.7832
2020-03-15,1007.4615885416666,chittagong,bangladesh,22.3569,91.7832
2020-03-16,1008.8621386718751,chittagong,bangladesh,22.3569,91.7832
2020-03-17,1009.2072135416666,chittagong,bangladesh,22.3569,91.7832
2020-03-18,1007.9342057291666,chittagong,bangladesh,22.3569,91.7832
2020-03-19,1007.223759765625,chittagong,bangladesh,22.3569,91.7832
2020-03-20,1006.6198307291667,chittagong,bangladesh,22.3569,91.7832
2020-03-21,1007.8665397135416,chittagong,bangladesh,22.3569,91.7832
2020-03-22,1008.5647298177083,chittagong,bangladesh,22.3569,91.7832
2020-03-23,1007.5129231770834,chittagong,bangladesh,22.3569,91.7832
2020-03-24,1006.2486979166666,chittagong,bangladesh,22.3569,91.7832
2020-03-25,1005.2032421875,chittagong,bangladesh,22.3569,91.7832
2020-03-26,1006.3843619791666,chittagong,bangladesh,22.3569,91.7832
2020-03-27,1006.7205013020833,chittagong,bangladesh,22.3569,91.7832
2020-03-28,1004.3812662760416,chittagong,bangladesh,22.3569,91.7832
2020-03-29,1004.4635026041666,chittagong,bangladesh,22.3569,91.7832
2020-03-30,1005.60744140625,chittagong,bangladesh,22.3569,91.7832
2020-03-31,1005.5599674479167,chittagong,bangladesh,22.3569,91.7832
2020-04-01,1004.516826171875,chittagong,bangladesh,22.3569,91.7832
2020-04-02,1004.8521516927084,chittagong,bangladesh,22.3569,91.7832
2020-04-03,1006.286982421875,chittagong,bangladesh,22.3569,91.7832
2020-04-04,1007.1875065104167,chittagong,bangladesh,22.3569,91.7832
2020-04-05,1007.1357421875,chittagong,bangladesh,22.3569,91.7832
2020-04-06,1006.1248177083334,chittagong,bangladesh,22.3569,91.7832
2020-04-07,1005.4017447916667,chittagong,bangladesh,22.3569,91.7832
2020-04-08,1006.2921126302084,chittagong,bangladesh,22.3569,91.7832
2020-04-09,1006.1841927083333,chittagong,bangladesh,22.3569,91.7832
2020-04-10,1008.0350032552084,chittagong,bangladesh,22.3569,91.7832
2020-04-11,1008.0570475260416,chittagong,bangladesh,22.3569,91.7832
2020-04-12,1006.4315592447916,chittagong,bangladesh,22.3569,91.7832
2020-04-13,1005.6335677083333,chittagong,bangladesh,22.3569,91.7832
2020-04-14,1006.860263671875,chittagong,bangladesh,22.3569,91.7832
2020-04-15,1006.3542740885417,chittagong,bangladesh,22.3569,91.7832
2020-04-16,1005.1555891927084,chittagong,bangladesh,22.3569,91.7832
2020-04-17,1005.5426041666666,chittagong,bangladesh,22.3569,91.7832
2020-04-18,1006.3780794270833,chittagong,bangladesh,22.3569,91.7832
2020-04-19,1005.8157194010417,chittagong,bangladesh,22.3569,91.7832
2020-04-20,1006.1298470052084,chittagong,bangladesh,22.3569,91.7832
2020-04-21,1006.0985481770832,chittagong,bangladesh,22.3569,91.7832
2020-04-22,1005.7708268229167,chittagong,bangladesh,22.3569,91.7832
2020-04-23,1005.5039550781249,chittagong,bangladesh,22.3569,91.7832
2020-04-24,1005.2485058593751,chittagong,bangladesh,22.3569,91.7832
2020-04-25,1005.632919921875,chittagong,bangladesh,22.3569,91.7832
2020-04-26,1007.1869694010417,chittagong,bangladesh,22.3569,91.7832
2020-04-27,1008.89638671875,chittagong,bangladesh,22.3569,91.7832
2020-04-28,1007.2856542968751,chittagong,bangladesh,22.3569,91.7832
2020-04-29,1006.3423632812501,chittagong,bangladesh,22.3569,91.7832
2020-04-30,1006.5070833333333,chittagong,bangladesh,22.3569,91.7832
2020-05-01,1005.1168391927084,chittagong,bangladesh,22.3569,91.7832
2020-05-02,1004.207216796875,chittagong,bangladesh,22.3569,91.7832
2020-05-03,1004.370703125,chittagong,bangladesh,22.3569,91.7832
