date,PS,region_name,country,latitude,longitude
2020-01-01,978.9307259114584,kandy,sri lanka,7.2906,80.6337
2020-01-02,979.469765625,kandy,sri lanka,7.2906,80.6337
2020-01-03,978.701943359375,kandy,sri lanka,7.2906,80.6337
2020-01-04,977.5207747395833,kandy,sri lanka,7.2906,80.6337
2020-01-05,977.5670670572916,kandy,sri lanka,7.2906,80.6337
2020-01-06,978.7704296874999,kandy,sri lanka,7.2906,80.6337
2020-01-07,978.277412109375,kandy,sri lanka,7.2906,80.6337
2020-01-08,978.4601888020834,kandy,sri lanka,7.2906,80.6337
2020-01-09,978.3018326822917,kandy,sri lanka,7.2906,80.6337
2020-01-10,978.4762662760417,kandy,sri lanka,7.2906,80.6337
2020-01-11,978.0031250000001,kandy,sri lanka,7.2906,80.6337
2020-01-12,977.7157291666667,kandy,sri lanka,7.2906,80.6337
2020-01-13,977.4670149739583,kandy,sri lanka,7.2906,80.6337
2020-01-14,977.7619889322917,kandy,sri lanka,7.2906,80.6337
2020-01-15,977.8444726562499,kandy,sri lanka,7.2906,80.6337
2020-01-16,977.6298372395833,kandy,sri lanka,7.2906,80.6337
2020-01-17,977.4262988281249,kandy,sri lanka,7.2906,80.6337
2020-01-18,977.2760188802084,kandy,sri lanka,7.2906,80.6337
2020-01-19,977.5648274739583,kandy,sri lanka,7.2906,80.6337
2020-01-20,978.6228841145834,kandy,sri lanka,7.2906,80.6337
2020-01-21,978.8826953125,kandy,sri lanka,7.2906,80.6337
2020-01-22,978.62287109375,kandy,sri lanka,7.2906,80.6337
2020-01-23,978.2683007812501,kandy,sri lanka,7.2906,80.6337
2020-01-24,978.5148209635416,kandy,sri lanka,7.2906,80.6337
2020-01-25,979.192099609375,kandy,sri lanka,7.2906,80.6337
2020-01-26,978.4373014322917,kandy,sri lanka,7.2906,80.6337
2020-01-27,978.4376432291666,kandy,sri lanka,7.2906,80.6337
2020-01-28,979.5104720052083,kandy,sri lanka,7.2906,80.6337
2020-01-29,979.4102799479166,kandy,sri lanka,7.2906,80.6337
2020-01-30,978.5247102864583,kandy,sri lanka,7.2906,80.6337
2020-01-31,977.5494856770833,kandy,sri lanka,7.2906,80.6337
2020-02-01,978.715576171875,kandy,sri lanka,7.2906,80.6337
2020-02-02,980.1022981770833,kandy,sri lanka,7.2906,80.6337
2020-02-03,979.5863346354166,kandy,sri lanka,7.2906,80.6337
2020-02-04,978.0995149739583,kandy,sri lanka,7.2906,80.6337
2020-02-05,978.7862109375001,kandy,sri lanka,7.2906,80.6337
2020-02-06,979.1663932291667,kandy,sri lanka,7.2906,80.6337
2020-02-07,979.619208984375,kandy,sri lanka,7.2906,80.6337
2020-02-08,979.6572233072917,kandy,sri lanka,7.2906,80.6337
2020-02-09,979.3882682291668,kandy,sri lanka,7.2906,80.6337
2020-02-10,978.8879752604166,kandy,sri lanka,7.2906,80.6337
2020-02-11,978.9919856770833,kandy,sri lanka,7.2906,80.6337
2020-02-12,979.369521484375,kandy,sri lanka,7.2906,80.6337
2020-02-13,979.14501953125,kandy,sri lanka,7.2906,80.6337
