date,PS,region_name,country,latitude,longitude
2020-01-01,881.892392578125,kathmandu,nepal,27.7172,85.324
2020-01-02,881.5930989583334,kathmandu,nepal,27.7172,85.324
2020-01-03,877.966943359375,kathmandu,nepal,27.7172,85.324
2020-01-04,875.9141080729167,kathmandu,nepal,27.7172,85.324
2020-01-05,875.8770670572917,kathmandu,nepal,27.7172,85.324
2020-01-06,878.4187630208334,kathmandu,nepal,27.7172,85.324
2020-01-07,876.4307454427084,kathmandu,nepal,27.7172,85.324
2020-01-08,876.3401888020834,kathmandu,nepal,27.7172,85.324
2020-01-09,876.0784993489583,kathmandu,nepal,27.7172,85.324
2020-01-10,876.7645996093751,kathmandu,nepal,27.7172,85.324
2020-01-11,877.6364583333334,kathmandu,nepal,27.7172,85.324
2020-01-12,875.2240625,kathmandu,nepal,27.7172,85.324
2020-01-13,874.998681640625,kathmandu,nepal,27.7172,85.324
2020-01-14,875.6169889322917,kathmandu,nepal,27.7172,85.324
2020-01-15,876.8794726562501,kathmandu,nepal,27.7172,85.324
2020-01-16,877.2031705729167,kathmandu,nepal,27.7172,85.324
2020-01-17,877.7129654947917,kathmandu,nepal,27.7172,85.324
2020-01-18,877.0160188802083,kathmandu,nepal,27.7172,85.324
2020-01-19,875.6898274739583,kathmandu,nepal,27.7172,85.324
2020-01-20,876.32455078125,kathmandu,nepal,27.7172,85.324
2020-01-21,878.5026953124999,kathmandu,nepal,27.7172,85.324
2020-01-22,877.31787109375,kathmandu,nepal,27.7172,85.324
2020-01-23,874.8933007812501,kathmandu,nepal,27.7172,85.324
2020-01-24,875.7914876302084,kathmandu,nepal,27.7172,85.324
2020-01-25,875.742099609375,kathmandu,nepal,27.7172,85.324
2020-01-26,874.0339680989583,kathmandu,nepal,27.7172,85.324
2020-01-27,873.5526432291667,kathmandu,nepal,27.7172,85.324
2020-01-28,875.442138671875,kathmandu,nepal,27.7172,85.324
2020-01-29,876.80861328125,kathmandu,nepal,27.7172,85.324
2020-01-30,874.726376953125,kathmandu,nepal,27.7172,85.324
2020-01-31,874.8344856770833,kathmandu,nepal,27.7172,85.324
2020-02-01,877.0189095052083,kathmandu,nepal,27.7172,85.324
2020-02-02,877.61896484375,kathmandu,nepal,27.7172,85.324
2020-02-03,877.8313346354166,kathmandu,nepal,27.7172,85.324
2020-02-04,876.7828483072917,kathmandu,nepal,27.7172,85.324
2020-02-05,874.6328776041668,kathmandu,nepal,27.7172,85.324
2020-02-06,876.7730598958333,kathmandu,nepal,27.7172,85.324
2020-02-07,878.1408756510417,kathmandu,nepal,27.7172,85.324
2020-02-08,879.0088899739584,kathmandu,nepal,27.7172,85.324
2020-02-09,878.7599348958333,kathmandu,nepal,27.7172,85.324
2020-02-10,878.09630859375,kathmandu,nepal,27.7172,85.324
2020-02-11,878.7253190104167,kathmandu,nepal,27.7172,85.324
2020-02-12,877.6728548177083,kathmandu,nepal,27.7172,85.324
2020-02-13,874.9233528645833,kathmandu,nepal,27.7172,85.324
2020-02-14,872.0367545572917,kathmandu,nepal,27.7172,85.324
2020-02-15,874.8359895833333,kathmandu,nepal,27.7172,85.324
2020-02-16,877.573095703125,kathmandu,nepal,27.7172,85.324
2020-02-17,876.99712890625,kathmandu,nepal,27.7172,85.324
2020-02-18,875.9993912760416,kathmandu,nepal,27.7172,85.324
2020-02-19,878.040732421875,kathmandu,nepal,27.7172,85.324
2020-02-20,879.0854720052083,kathmandu,nepal,27.7172,85.324
2020-02-21,881.3718554687499,kathmandu,nepal,27.7172,85.324
2020-02-22,881.4618522135416,kathmandu,nepal,27.7172,85.324
2020-02-23,878.8162272135418,kathmandu,nepal,27.7172,85.324
2020-02-24,876.2152571614583,kathmandu,nepal,27.7172,85.324
2020-02-25,875.755234375,kathmandu,nepal,27.7172,85.324
2020-02-26,876.510810546875,kathmandu,nepal,27.7172,85.324
2020-02-27,876.7362630208332,kathmandu,nepal,27.7172,85.324
2020-02-28,876.2774055989584,kathmandu,nepal,27.7172,85.324
2020-02-29,875.6569889322917,kathmandu,nepal,27.7172,85.324
2020-03-01,875.4641666666666,kathmandu,nepal,27.7172,85.324
2020-03-02,874.6653157552083,kathmandu,nepal,27.7172,85.324
2020-03-03,873.8745898437501,kathmandu,nepal,27.7172,85.324
2020-03-04,874.9966373697916,kathmandu,nepal,27.7172,85.324
2020-03-05,874.9662337239583,kathmandu,nepal,27.7172,85.324
2020-03-06,876.1890266927084,kathmandu,nepal,27.7172,85.324
2020-03-07,876.6994791666666,kathmandu,nepal,27.7172,85.324
2020-03-08,874.5194531249999,kathmandu,nepal,27.7172,85.324
2020-03-09,874.0053125,kathmandu,nepal,27.7172,85.324
2020-03-10,874.850498046875,kathmandu,nepal,27.7172,85.324
2020-03-11,875.358115234375,kathmandu,nepal,27.7172,85.324
2020-03-12,877.3417675781251,kathmandu,nepal,27.7172,85.324
2020-03-13,878.4795833333333,kathmandu,nepal,27.7172,85.324
2020-03-14,877.254326171875,kathmandu,nepal,27.7172,85.324
2020-03-15,876.0982552083333,kathmandu,nepal,27.7172,85.324
2020-03-16,876.5438053385416,kathmandu,nepal,27.7172,85.324
2020-03-17,877.0722135416667,kathmandu,nepal,27.7172,85.324
2020-03-18,875.3408723958333,kathmandu,nepal,27.7172,85.324
2020-03-19,874.4254264322917,kathmandu,nepal,27.7172,85.324
2020-03-20,873.9164973958333,kathmandu,nepal,27.7172,85.324
2020-03-21,874.9832063802083,kathmandu,nepal,27.7172,85.324
2020-03-22,875.896396484375,kathmandu,nepal,27.7172,85.324
2020-03-23,874.7879231770834,kathmandu,nepal,27.7172,85.324
2020-03-24,873.8403645833333,kathmandu,nepal,27.7172,85.324
2020-03-25,873.4032421874999,kathmandu,nepal,27.7172,85.324
2020-03-26,874.2943619791666,kathmandu,nepal,27.7172,85.324
2020-03-27,875.3538346354167,kathmandu,nepal,27.7172,85.324
2020-03-28,873.5429329427084,kathmandu,nepal,27.7172,85.324
2020-03-29,873.1401692708333,kathmandu,nepal,27.7172,85.324
2020-03-30,873.6357747395833,kathmandu,nepal,27.7172,85.324
2020-03-31,874.3083007812501,kathmandu,nepal,27.7172,85.324
